label	peak_strain	fwhm_yr	t_peak_yr	frequency_hz
|533⟩→|433⟩	5.10726661568721e-44	0.008060351739364868	0.4011055390570434	258414809636.6591
|422⟩→|322⟩	1.0141562654164958e-44	9.961966870875379e-10	5.0223987559452046e-08	558303601066.8561
|644⟩→|544⟩	9.793789328374894e-47	29257.401118975133	5468954.577955224	140373476839.66672
|633⟩→|433⟩	2.5363249791306778e-49	0.008749532502381863	0.4025996497975134	398788286476.3258
|311⟩→|211⟩	7.268704433713437e-50	2.2701018037918828e-12	1.856626218635265e-12	1595153145905.3032
|522⟩→|322⟩	4.1383260877401057e-51	1.0520787247772807e-09	5.0361589083855325e-08	816718410703.515
|633⟩→|533⟩	9.7205298546328e-53	0.009588010835111183	0.3976953095995481	140373476839.66672
|622⟩→|322⟩	1.426496287982933e-54	1.2847173468809828e-09	5.058804684739432e-08	957091887543.1819
|411⟩→|211⟩	3.2301786360625945e-55	2.2751138648629486e-12	1.8692257178615954e-12	2153456746972.1592
|511⟩→|211⟩	2.4707563893184883e-57	1.9808393954402232e-11	1.8762929797548595e-12	2411871556608.8184
|611⟩→|211⟩	2.3631440888890812e-58	1.9808393954402232e-11	1.883992421041498e-12	2552245033448.485
|522⟩→|422⟩	1.535922232135219e-61	1.1727519387728921e-09	4.9829357201457774e-08	258414809636.6591
|622⟩→|422⟩	3.977257545850505e-65	1.5942821204756052e-09	4.9829357201457774e-08	398788286476.3258
|622⟩→|522⟩	2.570450169525794e-71	2.0352635988464894e-09	4.9829357201457774e-08	140373476839.66672
|411⟩→|311⟩	3.107231734748393e-72	2.30389579250405e-12	1.8358076364329712e-12	558303601066.8561
|511⟩→|311⟩	2.174016902701048e-74	2.30389579250405e-12	1.8358076364329712e-12	816718410703.515
|611⟩→|311⟩	2.0059269316693022e-75	2.3130418480965846e-12	1.8358076364329712e-12	957091887543.1819
|511⟩→|411⟩	1.7124337501685216e-79	2.344425808471638e-12	1.8358076364329712e-12	258414809636.6591
|611⟩→|411⟩	1.4461410213204622e-80	2.3567696651693543e-12	1.8358076364329712e-12	398788286476.3258
|611⟩→|511⟩	1.6964450010401075e-82	2.4123668704914843e-12	1.8358076364329712e-12	140373476839.66672
