label	peak_strain	fwhm_yr	t_peak_yr	frequency_hz
|422⟩→|322⟩	1.1260912219410588e-47	0.0009120779163844447	0.050327007527484265	27823636128.48306
|533⟩→|433⟩	7.554329130468155e-49	421702.4960276	18550776.216706112	12878368722.326445
|311⟩→|211⟩	2.0837218041399594e-50	8.172494316829505e-10	6.762967134289277e-10	79496103224.23732
|644⟩→|544⟩	1.2756585764174123e-53	84993702037210.0	1.2091986619898222e+16	6995657083.732885
|633⟩→|433⟩	1.0294930348859891e-53	446196.8051972762	18626780.78135048	19874025806.05933
|522⟩→|322⟩	8.209542367612834e-54	0.0013157082621154115	0.05049225801596138	40702004850.8095
|411⟩→|211⟩	7.123653561676644e-56	6.982482390544975e-09	6.787780712794258e-10	107319739352.72038
|633⟩→|533⟩	7.255345805412209e-57	452584.2752313502	18376045.546676237	6995657083.732885
|622⟩→|322⟩	3.9193960723517814e-57	0.0013318121433606583	0.050788520602067955	47697661934.54239
|511⟩→|211⟩	4.929682436295755e-58	6.982482390544975e-09	6.829629130087661e-10	120198108075.04683
|611⟩→|211⟩	4.504253917962139e-59	6.983499118317938e-09	6.845074286741283e-10	127193765158.77971
|522⟩→|422⟩	7.727881949548728e-64	0.001507947704694354	0.04995096029418942	12878368722.326445
|622⟩→|422⟩	2.74218952683149e-67	0.001507947704694354	0.04995096029418942	19874025806.05933
|622⟩→|522⟩	3.1766535725614637e-73	0.0019648618409244534	0.04995096029418942	6995657083.732885
|411⟩→|311⟩	2.9074396499641314e-73	8.291293484604767e-10	6.680831604094482e-10	27823636128.48306
|511⟩→|311⟩	1.8409869395112328e-75	8.308050486532261e-10	6.680831604094482e-10	40702004850.8095
|611⟩→|311⟩	1.623035777621046e-76	8.327557930321726e-10	6.671991415610619e-10	47697661934.54239
|511⟩→|411⟩	1.116628656040602e-80	8.455960678326136e-10	6.655010974472301e-10	12878368722.326445
|611⟩→|411⟩	9.010479738729731e-82	8.493978646687844e-10	6.646833507774587e-10	19874025806.05933
|611⟩→|511⟩	9.5725718631649e-84	7.035967520862208e-09	6.572439618666887e-10	6995657083.732885
