label	peak_strain	fwhm_yr	t_peak_yr	frequency_hz
|211⟩	1.6032250592997325e-33	422.85148232266573	2.2753065440387933e-07	10466284532.534924
|322⟩	7.785452433033853e-35	199661.01440012682	0.0811409639058747	10485556070.00922
|433⟩	9.940398416550169e-39	2472534114829.459	1390646.9667615613	10492301108.125225
|544⟩	1.3593318620929912e-42	5.0610754293581865e+19	44308486630359.91	10495423097.19606
|655⟩	1.727550787420747e-46	9.535295100945115e+25	2.698348208028028e+21	10497118992.4938
|744⟩	5.416252566198459e-52	9.535523479087503e+25	45349379700508.15	10498141563.869986
|533⟩	6.090087481508186e-55	17267.34541615029	1045391.0584713599	10495423097.19606
|644⟩	4.236846772769397e-56	248781190258.22266	28989215391344.527	10497118992.4938
|422⟩	6.414415609764719e-62	0.0010627656155355464	0.06594717058611307	10492301108.125225
|755⟩	2.2578066702417014e-66	1.2017028980991328e+19	1.365922459525966e+21	10498141563.869986
|633⟩	1.301743347802676e-67	20810.33631288819	1049252.0149844987	10497118992.4938
|855⟩	5.483889209516835e-68	2.7842334053802705e+19	1.3304952293746305e+21	10498805252.022799
|844⟩	1.2525445764975742e-71	755875038140.1094	28663063156609.344	10498805252.022799
|311⟩	5.9187171256229475e-75	2.0697505472731699e-07	2.0101101660041844e-07	10485556070.00922
|522⟩	4.989191491114303e-77	0.0017866999116306626	0.06620512561910753	10495423097.19606
|733⟩	2.23221448395298e-77	29417.509323771694	1049252.0149844987	10498141563.869986
|833⟩	3.698772346861047e-84	32409.094528176007	1053112.9714976375	10498805252.022799
|622⟩	2.716644704387287e-85	0.002713044521188368	0.06620512561910753	10497118992.4938
|411⟩	1.3058362287807591e-87	2.1055963557752152e-07	1.977781457245583e-07	10492301108.125225
|722⟩	5.166032909302001e-90	0.003342244941878861	0.06620512561910753	10498141563.869986
|511⟩	1.424566164337844e-92	2.158724515729488e-07	1.9572463569727997e-07	10495423097.19606
|822⟩	7.032220293404351e-93	0.004171770586562207	0.06620512561910753	10498805252.022799
|611⟩	6.213941300365918e-95	1.7923548969877256e-06	1.9460433843558507e-07	10497118992.4938
|711⟩	3.1457121414231834e-96	1.8028606961124558e-06	1.9383491956452992e-07	10498141563.869986
|811⟩	5.06245474609268e-97	1.8092545871168794e-06	1.929750360384938e-07	10498805252.022799
|866⟩	2.9970200339725227e-111	0.07003785339608193	0.0	10498805252.022799
|766⟩	1.8144555564041065e-111	0.07003785339608193	0.0	10498141563.869986
|877⟩	3.2548196934278676e-115	0.06924362986426655	0.0	10498805252.022799
