label	peak_strain	fwhm_yr	t_peak_yr	frequency_hz
|544⟩	5.5431599979913944e-34	177.84119172805575	4.838163555006573	43599499899.147705
|655⟩	1.9581065734562006e-36	12167552.009196524	321551.7375984238	43724326149.67839
|766⟩	3.439120248863251e-39	2197054234005.479	116856928756.84729	43799592441.74234
|644⟩	1.5664093140598854e-40	0.028458844357456936	3.9975759753461624	43724326149.67839
|744⟩	1.5686845194598098e-44	6163818381177.649	5.36063793290103	43799592441.74234
|755⟩	1.3906566251448816e-46	1382.2188267236052	229305.09596900933	43799592441.74234
|855⟩	2.758985379939418e-48	3492.440259109513	224302.08527790435	43848443160.14924
|866⟩	5.865782964317187e-54	439073091.583313	70270943267.97887	43848443160.14924
|844⟩	2.529644586084098e-58	0.08649642149772419	3.9443861906982547	43848443160.14924
|211⟩	6.235464409251693e-91	1631130832921856.8	0.0	41454757958.2114
|311⟩	1.805738047464287e-91	1631130832921856.8	0.0	42873238077.87827
|411⟩	7.484321914447771e-92	1631130832921856.8	0.0	43369706119.761665
|511⟩	3.794659550877001e-92	1631130832921856.8	0.0	43599499899.147705
|322⟩	3.2508429998919495e-92	1631130832921856.8	0.0	42873238077.87827
|611⟩	2.1834348827419813e-92	1631130832921856.8	0.0	43724326149.67839
|422⟩	1.8743732864601513e-92	1631130832921856.8	0.0	43369706119.761665
|711⟩	1.3700557460459854e-92	1631130832921856.8	0.0	43799592441.74234
|522⟩	1.0800902038805468e-92	1631130832921856.8	0.0	43599499899.147705
|811⟩	9.156392175767148e-93	1631130832921856.8	0.0	43848443160.14924
|622⟩	6.630479238986562e-93	1631130832921856.8	0.0	43724326149.67839
|722⟩	4.3199980821510265e-93	1631130832921856.8	0.0	43799592441.74234
|822⟩	2.9569697452908476e-93	1631130832921856.8	0.0	43848443160.14924
|433⟩	3.9923714693009956e-94	1631130832921856.8	0.0	43369706119.761665
|533⟩	3.3303602188641806e-94	1631130832921856.8	0.0	43599499899.147705
|633⟩	2.3822962208793994e-94	1631130832921856.8	0.0	43724326149.67839
|733⟩	1.6836636491146643e-94	1631130832921856.8	0.0	43799592441.74234
|833⟩	1.2105335139240562e-94	1631130832921856.8	0.0	43848443160.14924
|877⟩	8.337386117500025e-103	392488131769911.25	1631130832921856.8	43848443160.14924
