label	peak_strain	fwhm_yr	t_peak_yr	frequency_hz
|644⟩→|544⟩	1.459615560552676e-33	0.004375784267985461	1.8379388573606539	80732234.10308348
|755⟩→|655⟩	5.500001216634283e-37	34.90477327266126	28013.2132235674	48678990.87848261
|744⟩→|644⟩	5.37992762853146e-38	0.0358895573309419	1.8186836720843187	48678990.87848261
|855⟩→|755⟩	3.848310017044992e-38	439.2438388594892	27515.204244245328	31594537.349015146
|855⟩→|655⟩	2.3663775855460495e-41	53.93996876579695	28013.2132235674	80273528.22749776
|866⟩→|766⟩	6.595369941557359e-42	6164430.653912544	6019405707.316191	31594537.349015146
|844⟩→|644⟩	1.1309029060114863e-42	0.031391981950133374	1.826109831655494	80273528.22749776
|844⟩→|544⟩	4.169729611156475e-43	0.009485891823884707	1.8393609938757023	161005762.33058125
|844⟩→|744⟩	1.2855875877669208e-46	0.03522638637407649	1.8125466757615236	31594537.349015146
|311⟩→|211⟩	1.685283114792336e-88	79155467510181.39	0.0	917411751.171403
|422⟩→|322⟩	1.0734302958291182e-88	79155467510181.39	0.0	321094112.909991
|411⟩→|211⟩	9.554768824064786e-89	79155467510181.39	0.0	1238505864.0813942
|411⟩→|311⟩	9.293796950531669e-89	79155467510181.39	0.0	321094112.909991
|522⟩→|422⟩	7.452506969938604e-89	79155467510181.39	0.0	148620703.6897673
|533⟩→|433⟩	6.829591803347666e-89	79155467510181.39	0.0	148620703.6897673
|511⟩→|211⟩	6.470420319453121e-89	79155467510181.39	0.0	1387126567.7711613
|522⟩→|322⟩	6.1744694887450944e-89	79155467510181.39	0.0	469714816.5997583
|511⟩→|411⟩	5.764211557061285e-89	79155467510181.39	0.0	148620703.6897673
|511⟩→|311⟩	5.761615345097184e-89	79155467510181.39	0.0	469714816.5997583
|633⟩→|533⟩	5.4451065656358745e-89	79155467510181.39	0.0	80732234.10308348
|622⟩→|522⟩	5.252231303211829e-89	79155467510181.39	0.0	80732234.10308348
|611⟩→|211⟩	4.785097509074852e-89	79155467510181.39	0.0	1467858801.874245
|622⟩→|422⟩	4.6615342905128954e-89	79155467510181.39	0.0	229352937.79285076
|622⟩→|322⟩	4.249152703693727e-89	79155467510181.39	0.0	550447050.7028419
|611⟩→|311⟩	4.1123898216915676e-89	79155467510181.39	0.0	550447050.7028419
|611⟩→|511⟩	3.903040159075958e-89	79155467510181.39	0.0	80732234.10308348
|633⟩→|433⟩	3.8851355236245964e-89	79155467510181.39	0.0	229352937.79285076
|722⟩→|622⟩	3.858460403478746e-89	79155467510181.39	0.0	48678990.87848261
|611⟩→|411⟩	3.766063555436639e-89	79155467510181.39	0.0	229352937.79285076
|711⟩→|211⟩	3.7350455460741486e-89	79155467510181.39	0.0	1516537792.7527275
|722⟩→|522⟩	3.4512629694876594e-89	79155467510181.39	0.0	129411224.98156612
|733⟩→|533⟩	3.38243090516091e-89	79155467510181.39	0.0	129411224.98156612
|722⟩→|422⟩	3.362943019432084e-89	79155467510181.39	0.0	278031928.67133343
|833⟩→|733⟩	3.264505282508285e-89	79155467510181.39	0.0	31594537.349015146
|722⟩→|322⟩	3.189016406638196e-89	79155467510181.39	0.0	599126041.5813245
|711⟩→|311⟩	3.151230846593164e-89	79155467510181.39	0.0	599126041.5813245
|811⟩→|211⟩	3.025078262125436e-89	79155467510181.39	0.0	1548132330.1017427
|822⟩→|722⟩	2.9417046358429748e-89	79155467510181.39	0.0	31594537.349015146
|711⟩→|611⟩	2.8119993114043826e-89	79155467510181.39	0.0	48678990.87848261
|711⟩→|411⟩	2.782933697730763e-89	79155467510181.39	0.0	278031928.67133343
|833⟩→|633⟩	2.736942071636126e-89	79155467510181.39	0.0	80273528.22749776
|733⟩→|433⟩	2.6671256357836817e-89	79155467510181.39	0.0	278031928.67133343
|711⟩→|511⟩	2.64001777384273e-89	79155467510181.39	0.0	129411224.98156612
|822⟩→|622⟩	2.6198900265512073e-89	79155467510181.39	0.0	80273528.22749776
|822⟩→|422⟩	2.60347996903415e-89	79155467510181.39	0.0	309626466.02034855
|822⟩→|522⟩	2.5694039206039083e-89	79155467510181.39	0.0	161005762.33058125
|811⟩→|311⟩	2.5242976347843587e-89	79155467510181.39	0.0	630720578.9303396
|822⟩→|322⟩	2.5214365670156402e-89	79155467510181.39	0.0	630720578.9303396
|833⟩→|533⟩	2.4369999456531497e-89	79155467510181.39	0.0	161005762.33058125
|811⟩→|411⟩	2.1866444884490397e-89	79155467510181.39	0.0	309626466.02034855
|811⟩→|711⟩	2.120179834157604e-89	79155467510181.39	0.0	31594537.349015146
|833⟩→|433⟩	2.00423581101792e-89	79155467510181.39	0.0	309626466.02034855
|811⟩→|511⟩	1.9994955052267828e-89	79155467510181.39	0.0	161005762.33058125
|811⟩→|611⟩	1.9494650069557934e-89	79155467510181.39	0.0	80273528.22749776
