label	peak_strain	fwhm_yr	t_peak_yr	frequency_hz
|544⟩	7.694194609399707e-34	71.98401380322919	3.0470293862894695	45513117804.17524
|655⟩	4.07641653700163e-36	2842447.9596865415	108810.09601755961	45655478351.06165
|766⟩	7.73620733468965e-39	422892799296.0978	32913313762.500774	45741317270.798355
|644⟩	2.902200946654436e-40	0.018923687063645556	2.5482631074173443	45655478351.06165
|744⟩	2.1713251331842782e-44	2161197036622.224	3.3874367466665665	45741317270.798355
|755⟩	5.471654775522973e-46	440.23517683109094	78370.01774852455	45741317270.798355
|855⟩	1.0794316480213956e-47	1317.12129883327	76696.64884579307	45797030031.2044
|866⟩	3.0169946821865196e-53	136418581.68904495	20060683462.449734	45797030031.2044
|844⟩	4.583984024936209e-58	0.04885147712120563	2.5206462948369213	45797030031.2044
|211⟩	9.184422140778669e-91	349346026185857.56	0.0	43067104771.30866
|311⟩	2.643288620310849e-91	349346026185857.56	0.0	44684838258.65428
|411⟩	1.0931474365065348e-91	349346026185857.56	0.0	45251044979.22525
|511⟩	5.536695630422579e-92	349346026185857.56	0.0	45513117804.17524
|322⟩	4.733835373735661e-92	349346026185857.56	0.0	44684838258.65428
|611⟩	3.184006551064682e-92	349346026185857.56	0.0	45655478351.06165
|422⟩	2.7194060725642823e-92	349346026185857.56	0.0	45251044979.22525
|711⟩	1.9972139645618746e-92	349346026185857.56	0.0	45741317270.798355
|522⟩	1.5644021167556692e-92	349346026185857.56	0.0	45513117804.17524
|811⟩	1.3344891494797162e-92	349346026185857.56	0.0	45797030031.2044
|622⟩	9.594881206643517e-93	349346026185857.56	0.0	45655478351.06165
|722⟩	6.248010208355407e-93	349346026185857.56	0.0	45741317270.798355
|822⟩	4.275155357775357e-93	349346026185857.56	0.0	45797030031.2044
|433⟩	6.388733700614365e-94	349346026185857.56	0.0	45251044979.22525
|533⟩	5.315124164953471e-94	349346026185857.56	0.0	45513117804.17524
|633⟩	3.7965659738678393e-94	349346026185857.56	0.0	45655478351.06165
|733⟩	2.680857863457197e-94	349346026185857.56	0.0	45741317270.798355
|833⟩	1.9264213629486863e-94	349346026185857.56	0.0	45797030031.2044
|877⟩	1.588294762888686e-102	109272492529476.9	349346026185857.56	45797030031.2044
