label	peak_strain	fwhm_yr	t_peak_yr	frequency_hz
|533⟩→|433⟩	1.0346519796892041e-42	6.595804690691593e-05	0.0032425108358771384	588959005942.4673
|422⟩→|322⟩	3.4390198523120097e-44	5.35687431743627e-11	2.515012782298043e-09	1272442296789.281
|644⟩→|544⟩	7.228629837489643e-45	77.15498308069436	15390.051164167866	319928348907.0194
|633⟩→|433⟩	3.900604911508455e-48	6.978301100542608e-05	0.003254397934536437	908887354849.4867
|522⟩→|322⟩	1.3157067840596757e-50	5.7777218127181e-11	2.527496432367405e-09	1861401302731.7485
|633⟩→|533⟩	1.2657831806637306e-51	7.645991152711818e-05	0.003215181017651234	319928348907.0194
|622⟩→|322⟩	4.3640946837181073e-54	6.867406746564192e-11	2.5386875364356885e-09	2181329651638.7678
|522⟩→|422⟩	4.4768715091133755e-61	6.560472303036935e-11	2.4983750233300786e-09	588959005942.4673
|622⟩→|422⟩	1.1214955915210277e-64	7.147788814382341e-11	2.4983750233300786e-09	908887354849.4867
|622⟩→|522⟩	6.786887760854471e-71	9.260246927290277e-11	2.4983750233300786e-09	319928348907.0194
|311⟩→|211⟩	6.672437952183954e-85	5993812293.290682	0.0	3635549419397.947
|411⟩→|211⟩	3.7704103764942844e-85	5993812293.290682	0.0	4907991716187.228
|411⟩→|311⟩	3.6826226901716824e-85	5993812293.290682	0.0	1272442296789.281
|511⟩→|211⟩	2.549341110391776e-85	5993812293.290682	0.0	5496950722129.694
|511⟩→|411⟩	2.2843957491254828e-85	5993812293.290682	0.0	588959005942.4673
|511⟩→|311⟩	2.2791002335886176e-85	5993812293.290682	0.0	1861401302731.7485
|611⟩→|211⟩	1.88373299226339e-85	5993812293.290682	0.0	5816879071036.714
|611⟩→|311⟩	1.625227792964318e-85	5993812293.290682	0.0	2181329651638.7678
|611⟩→|511⟩	1.5468461511151006e-85	5993812293.290682	0.0	319928348907.0194
|611⟩→|411⟩	1.490972687866521e-85	5993812293.290682	0.0	908887354849.4867
