label	peak_strain	fwhm_yr	t_peak_yr	frequency_hz
|644⟩→|544⟩	7.597569441820946e-35	0.7895852796617078	280.35889346728845	29172070.169738993
|533⟩→|433⟩	9.927679305123275e-36	0.00011650492266188864	0.0066083246486493405	53703129.17611041
|744⟩→|644⟩	3.2378971034315754e-39	5.140504890239754	277.5986894567848	17589838.22850681
|755⟩→|655⟩	9.36597160968019e-40	152739.68058238924	128303174.96679197	17589838.22850681
|855⟩→|755⟩	6.827489969918897e-41	1867348.145785287	126027225.47442178	11416481.542540476
|633⟩→|433⟩	1.5130808404658907e-42	0.00012513961392476847	0.00662968837761201	82875199.3458494
|844⟩→|644⟩	7.934376282364125e-44	4.460577384041642	278.62202503899954	29006319.771047287
|855⟩→|655⟩	6.108510099323077e-44	263785.4467472285	128303174.96679197	29006319.771047287
|844⟩→|544⟩	2.981915463203087e-44	1.3520431024675759	280.58270315071485	58178389.94078627
|866⟩→|766⟩	2.6121244181050014e-45	125321799144.42188	109495995852749.53	11416481.542540476
|633⟩→|533⟩	7.191935510469185e-47	0.00012595200003701588	0.006584734450946873	29172070.169738993
|844⟩→|744⟩	1.0233065858294134e-47	4.781585903523137	275.7799635899117	11416481.542540476
|733⟩→|433⟩	9.445643318072232e-48	0.00011465158444562071	0.006649213142223816	100465037.57435621
|833⟩→|433⟩	2.396691209725242e-51	0.00014280831106321026	0.006667195314118892	111881519.11689669
|733⟩→|533⟩	3.361185889371848e-52	0.00012595200003701588	0.006584734450946873	46761908.398245804
|833⟩→|533⟩	6.988538657064116e-56	0.00012595200003701588	0.006584734450946873	58178389.94078627
|833⟩→|633⟩	1.6898414891096822e-62	0.00014547676464882198	0.006584734450946873	29006319.771047287
|833⟩→|733⟩	1.542511956193161e-67	0.0001961202651077536	0.0066083246486493405	11416481.542540476
|311⟩→|211⟩	6.086651327512639e-89	9.021455710177535e+17	0.0	331500797.3833976
|422⟩→|322⟩	3.8780585305383824e-89	9.021455710177535e+17	0.0	116025279.08418915
|411⟩→|211⟩	3.44450033504983e-89	9.021455710177535e+17	0.0	447526076.46758676
|411⟩→|311⟩	3.3580794515019605e-89	9.021455710177535e+17	0.0	116025279.08418915
|522⟩→|422⟩	2.6928714376466383e-89	9.021455710177535e+17	0.0	53703129.17611041
|511⟩→|211⟩	2.3305840334308862e-89	9.021455710177535e+17	0.0	501229205.64369714
|522⟩→|322⟩	2.228324457824003e-89	9.021455710177535e+17	0.0	169728408.26029953
|511⟩→|411⟩	2.0829301183834078e-89	9.021455710177535e+17	0.0	53703129.17611041
|511⟩→|311⟩	2.0798315805158e-89	9.021455710177535e+17	0.0	169728408.26029953
|622⟩→|522⟩	1.8979106968173547e-89	9.021455710177535e+17	0.0	29172070.169738993
|611⟩→|211⟩	1.722737188323501e-89	9.021455710177535e+17	0.0	530401275.81343615
|622⟩→|422⟩	1.683335180750931e-89	9.021455710177535e+17	0.0	82875199.3458494
|622⟩→|322⟩	1.5326020998585224e-89	9.021455710177535e+17	0.0	198900478.43003854
|611⟩→|311⟩	1.4837341163230386e-89	9.021455710177535e+17	0.0	198900478.43003854
|611⟩→|511⟩	1.4104079356367102e-89	9.021455710177535e+17	0.0	29172070.169738993
|722⟩→|622⟩	1.3942811872136852e-89	9.021455710177535e+17	0.0	17589838.22850681
|611⟩→|411⟩	1.3601050065407927e-89	9.021455710177535e+17	0.0	82875199.3458494
|711⟩→|211⟩	1.3443141469630831e-89	9.021455710177535e+17	0.0	547991114.041943
|722⟩→|522⟩	1.2466159198585115e-89	9.021455710177535e+17	0.0	46761908.398245804
|722⟩→|422⟩	1.213946930514759e-89	9.021455710177535e+17	0.0	100465037.57435621
|722⟩→|322⟩	1.1498250379400927e-89	9.021455710177535e+17	0.0	216490316.65854537
|711⟩→|311⟩	1.1366029159235727e-89	9.021455710177535e+17	0.0	216490316.65854537
|811⟩→|211⟩	1.0885823078203556e-89	9.021455710177535e+17	0.0	559407595.5844834
|822⟩→|722⟩	1.0630053884529047e-89	9.021455710177535e+17	0.0	11416481.542540476
|711⟩→|611⟩	1.0161471152282417e-89	9.021455710177535e+17	0.0	17589838.22850681
|711⟩→|411⟩	1.0047112329318153e-89	9.021455710177535e+17	0.0	100465037.57435621
|711⟩→|511⟩	9.53635079080606e-90	9.021455710177535e+17	0.0	46761908.398245804
|822⟩→|622⟩	9.464441289660463e-90	9.021455710177535e+17	0.0	29006319.771047287
|822⟩→|422⟩	9.395722924012376e-90	9.021455710177535e+17	0.0	111881519.11689669
|822⟩→|522⟩	9.278443592781102e-90	9.021455710177535e+17	0.0	58178389.94078627
|811⟩→|311⟩	9.102964168945634e-90	9.021455710177535e+17	0.0	227906798.2010858
|822⟩→|322⟩	9.089170151185946e-90	9.021455710177535e+17	0.0	227906798.2010858
|811⟩→|411⟩	7.892650173948358e-90	9.021455710177535e+17	0.0	111881519.11689669
|811⟩→|711⟩	7.661467579432574e-90	9.021455710177535e+17	0.0	11416481.542540476
|811⟩→|511⟩	7.220916978411683e-90	9.021455710177535e+17	0.0	58178389.94078627
|811⟩→|611⟩	7.042689675614557e-90	9.021455710177535e+17	0.0	29006319.771047287
