label	peak_strain	fwhm_yr	t_peak_yr	frequency_hz
|533⟩→|433⟩	3.556847615722306e-40	2.8169767155878966e-09	1.4381052007456362e-07	3916224001208.7524
|644⟩→|544⟩	1.285352970189515e-40	8.237639983604828e-05	0.02104471006642278	2127331556212.1624
|633⟩→|433⟩	8.259347960750876e-46	2.9808865953150332e-09	1.4431821820116596e-07	6043555557420.915
|633⟩→|533⟩	2.0010885808217194e-49	3.265396101268007e-09	1.4264338010519727e-07	2127331556212.1624
|311⟩→|211⟩	4.438159710213148e-84	2977.0261459375743	0.0	24174222229683.66
|422⟩→|322⟩	2.8279133291300934e-84	2977.0261459375743	0.0	8460977780389.279
|411⟩→|211⟩	2.5106891880274803e-84	2977.0261459375743	0.0	32635200010072.94
|411⟩→|311⟩	2.4488054327591125e-84	2977.0261459375743	0.0	8460977780389.279
|522⟩→|422⟩	1.9637311750890144e-84	2977.0261459375743	0.0	3916224001208.7524
|511⟩→|211⟩	1.6984704907374546e-84	2977.0261459375743	0.0	36551424011281.695
|522⟩→|322⟩	1.6245721069792393e-84	2977.0261459375743	0.0	12377201781598.031
|511⟩→|411⟩	1.5189567613295083e-84	2977.0261459375743	0.0	3916224001208.7524
|511⟩→|311⟩	1.5163874300694766e-84	2977.0261459375743	0.0	12377201781598.031
|622⟩→|522⟩	1.3840313886749187e-84	2977.0261459375743	0.0	2127331556212.1624
|611⟩→|211⟩	1.2553714018531987e-84	2977.0261459375743	0.0	38678755567493.85
|622⟩→|422⟩	1.227392979781119e-84	2977.0261459375743	0.0	6043555557420.915
|622⟩→|322⟩	1.1172242318371527e-84	2977.0261459375743	0.0	14504533337810.195
|611⟩→|311⟩	1.0816694023580387e-84	2977.0261459375743	0.0	14504533337810.195
|611⟩→|511⟩	1.0285297254442049e-84	2977.0261459375743	0.0	2127331556212.1624
|611⟩→|411⟩	9.917315489302181e-85	2977.0261459375743	0.0	6043555557420.915
