label	peak_strain	fwhm_yr	t_peak_yr	frequency_hz
|544⟩	3.660243606054028e-34	505.6803826225152	8.315598373719267	41680965247.75332
|655⟩	9.167538035244542e-37	54728518.50931253	996313.7231453633	41789759541.095924
|766⟩	1.484242358349425e-39	11982480427842.861	438317338823.01337	41855359068.62162
|644⟩	7.768890448728912e-41	0.05337498183573697	6.782859214598829	41789759541.095924
|744⟩	1.0507552219961713e-44	18040018263497.273	9.286055422354794	41855359068.62162
|755⟩	3.331087970203425e-47	4311.299338176963	704400.9474851659	41855359068.62162
|855⟩	6.643655207575295e-49	11081.236277946853	688832.2462566929	41897935685.04454
|866⟩	1.0655234914594096e-54	1774456572.3820496	259877978981.32764	41897935685.04454
|844⟩	1.3085463459186612e-58	0.13394076800391375	6.706217051570263	41897935685.04454
|211⟩	4.155546681978444e-91	8112235469797221.0	0.0	39811681480.32123
|311⟩	1.2106927351155648e-91	8112235469797221.0	0.0	41047980268.30541
|411⟩	5.02880957728059e-92	8112235469797221.0	0.0	41480684844.099884
|511⟩	2.5522279023146233e-92	8112235469797221.0	0.0	41680965247.75332
|322⟩	2.1903487476128472e-92	8112235469797221.0	0.0	41047980268.30541
|611⟩	1.4693421410424083e-92	8112235469797221.0	0.0	41789759541.095924
|422⟩	1.2673781114181629e-92	8112235469797221.0	0.0	41480684844.099884
|711⟩	9.222812125368586e-93	8112235469797221.0	0.0	41855359068.62162
|522⟩	7.314939863574437e-93	8112235469797221.0	0.0	41680965247.75332
|811⟩	6.165126446853502e-93	8112235469797221.0	0.0	41897935685.04454
|622⟩	4.494423649859336e-93	8112235469797221.0	0.0	41789759541.095924
|722⟩	2.9298139363278394e-93	8112235469797221.0	0.0	41855359068.62162
|822⟩	2.0060911690905083e-93	8112235469797221.0	0.0	41897935685.04454
|433⟩	2.4389917032452e-94	8112235469797221.0	0.0	41480684844.099884
|533⟩	2.0397728500772861e-94	8112235469797221.0	0.0	41680965247.75332
|633⟩	1.4611222322594966e-94	8112235469797221.0	0.0	41789759541.095924
|733⟩	1.0334914097990192e-94	8112235469797221.0	0.0	41855359068.62162
|833⟩	7.434675810411495e-95	8112235469797221.0	0.0	41897935685.04454
|877⟩	4.3589204280308124e-103	2132960798687732.0	8112235469797221.0	41897935685.04454
