label	peak_strain	fwhm_yr	t_peak_yr	frequency_hz
|533⟩→|433⟩	5.960300775289138e-37	0.023391852456244644	1.6765052372136533	15003869.761635922
|644⟩→|544⟩	1.1329891535541197e-37	7222.037771940231	2449443.8893989543	8150250.2408886505
|422⟩→|322⟩	7.591101753771845e-41	3.592946154372144e-07	2.1670580460656077e-05	32415768.003534395
|744⟩→|644⟩	7.123025528391581e-42	43785.85563945444	2426177.9655906553	4914343.837270522
|755⟩→|655⟩	2.3777118740591926e-43	8940728035.67871	6044288518525.969	4914343.837270522
|633⟩→|433⟩	1.094080452859956e-43	0.03232529695538755	1.6820248172171324	23154120.00252457
|855⟩→|755⟩	1.8267841227575735e-44	91815778930.42578	5934530387157.19	3189598.1636130777
|844⟩→|644⟩	2.6918551562905504e-46	47616.10257833544	2434280.334593282	8103942.000883599
|844⟩→|544⟩	1.0635827512405918e-46	13706.74344511237	2451008.314210114	16254192.24177225
|855⟩→|655⟩	2.6808467354242383e-47	13829812846.267578	6044288518525.969	8103942.000883599
|633⟩→|533⟩	5.882664720534253e-48	0.03258734863054191	1.6704051380385068	8150250.2408886505
|522⟩→|322⟩	1.7013217646022536e-48	4.882186454253355e-07	2.1759380563098707e-05	47419637.76517031
|733⟩→|433⟩	7.901116220197448e-49	0.033326135332858886	1.6917035091816321	28068463.839795098
|866⟩→|766⟩	1.1456160967731372e-49	3.703463361016218e+16	2.7602836131692618e+19	3189598.1636130777
|844⟩→|744⟩	4.9594430394523505e-50	51804.17651022319	2410578.4199282783	3189598.1636130777
|833⟩→|433⟩	2.2264570464651475e-52	0.03682794049286109	1.6959985937040354	31258062.003408168
|622⟩→|322⟩	1.2145665173599348e-52	4.969382095431974e-07	2.1839858512669943e-05	55569888.00605897
|733⟩→|533⟩	3.170886730159662e-53	0.03258734863054191	1.6704051380385068	13064594.078159172
|722⟩→|322⟩	5.477893327017951e-55	5.426771647070519e-07	2.190811268505952e-05	60484231.84332949
|822⟩→|322⟩	2.1430957260674427e-56	6.356536189163658e-07	2.1968782542658064e-05	63673830.00694256
|833⟩→|533⟩	7.281364168335324e-57	0.03258734863054191	1.6704051380385068	16254192.24177225
|522⟩→|422⟩	6.1114564583970064e-61	5.14635819006632e-07	2.1555066407109967e-05	15003869.761635922
|833⟩→|633⟩	2.1129508716087337e-63	0.03762768061830202	1.6704051380385068	8103942.000883599
|622⟩→|422⟩	3.3152910739668506e-65	5.14635819006632e-07	2.1555066407109967e-05	23154120.00252457
|722⟩→|422⟩	1.235145398174226e-67	6.370444151405997e-07	2.1555066407109967e-05	28068463.839795098
|833⟩→|733⟩	2.242257189462397e-68	0.050734323100330325	1.6765052372136533	3189598.1636130777
|822⟩→|422⟩	4.152489264754022e-69	6.370444151405997e-07	2.1555066407109967e-05	31258062.003408168
|622⟩→|522⟩	1.1825003935065076e-72	6.790917310668018e-07	2.1555066407109967e-05	8150250.2408886505
|722⟩→|522⟩	4.0125115517357327e-75	7.17522364711836e-07	2.1555066407109967e-05	13064594.078159172
|822⟩→|522⟩	1.2972218888615816e-76	8.569526477931975e-07	2.1555066407109967e-05	16254192.24177225
|722⟩→|622⟩	3.900638367157837e-79	8.922788365494048e-07	2.1617498598604027e-05	4914343.837270522
|822⟩→|622⟩	1.1503721748895371e-80	1.09170782416624e-06	2.1617498598604027e-05	8103942.000883599
|822⟩→|722⟩	6.690626347416392e-83	1.3205391172209899e-06	2.1617498598604027e-05	3189598.1636130777
|311⟩→|211⟩	1.7000028348055462e-89	1.980095321511226e+23	0.0	92616480.01009828
|411⟩→|211⟩	9.609925569487182e-90	1.980095321511226e+23	0.0	125032248.01363267
|411⟩→|311⟩	9.381677531630747e-90	1.980095321511226e+23	0.0	32415768.003534395
|511⟩→|211⟩	6.498849783757572e-90	1.980095321511226e+23	0.0	140036117.77526858
|511⟩→|411⟩	5.819514025708542e-90	1.980095321511226e+23	0.0	15003869.761635922
|511⟩→|311⟩	5.807270206702609e-90	1.980095321511226e+23	0.0	47419637.76517031
|611⟩→|211⟩	4.802527350715243e-90	1.980095321511226e+23	0.0	148186368.01615727
|611⟩→|311⟩	4.141602937466415e-90	1.980095321511226e+23	0.0	55569888.00605897
|611⟩→|511⟩	3.940587747755835e-90	1.980095321511226e+23	0.0	8150250.2408886505
|611⟩→|411⟩	3.7987124792598486e-90	1.980095321511226e+23	0.0	23154120.00252457
|711⟩→|211⟩	3.7469558980197665e-90	1.980095321511226e+23	0.0	153100711.8534278
|711⟩→|311⟩	3.172067110853916e-90	1.980095321511226e+23	0.0	60484231.84332949
|811⟩→|211⟩	3.033832930387009e-90	1.980095321511226e+23	0.0	156290310.01704085
|711⟩→|611⟩	2.839047713533177e-90	1.980095321511226e+23	0.0	4914343.837270522
|711⟩→|411⟩	2.805554337541643e-90	1.980095321511226e+23	0.0	28068463.839795098
|711⟩→|511⟩	2.6637906623701413e-90	1.980095321511226e+23	0.0	13064594.078159172
|811⟩→|311⟩	2.54018578316753e-90	1.980095321511226e+23	0.0	63673830.00694256
|811⟩→|411⟩	2.2036616727532296e-90	1.980095321511226e+23	0.0	31258062.003408168
|811⟩→|711⟩	2.140557232099638e-90	1.980095321511226e+23	0.0	3189598.1636130777
|811⟩→|511⟩	2.016736246730694e-90	1.980095321511226e+23	0.0	16254192.24177225
|811⟩→|611⟩	1.9673641836263166e-90	1.980095321511226e+23	0.0	8103942.000883599
