label	peak_strain	fwhm_yr	t_peak_yr	frequency_hz
|533⟩→|433⟩	1.0638297037761766e-41	1.5823687874177175e-06	7.583433206011253e-05	1123253712096.8694
|644⟩→|544⟩	2.035301714981216e-43	0.6725091874799034	158.03440502790298	610162510274.8427
|422⟩→|322⟩	6.590282101791868e-44	8.055150589848873e-12	3.593921366225806e-10	2426782711320.3965
|633⟩→|433⟩	3.1875263123068775e-47	1.6661942127307438e-06	7.611809787614129e-05	1733416222371.7122
|522⟩→|322⟩	2.5097239967316696e-50	8.137313568701073e-12	3.6104648307036167e-10	3550036423417.2656
|633⟩→|533⟩	9.17269873481785e-51	1.7031712186554176e-06	7.552298911777885e-05	610162510274.8427
|622⟩→|322⟩	8.282819703109244e-54	1.020809722227071e-11	3.624872209606865e-10	4160198933692.109
|522⟩→|422⟩	8.564884670886556e-61	1.0068196228360026e-11	3.5615594404338616e-10	1123253712096.8694
|622⟩→|422⟩	2.1444639818071805e-64	1.0068196228360026e-11	3.5615594404338616e-10	1733416222371.7122
|622⟩→|522⟩	1.294199321843779e-70	1.3883218456159752e-11	3.5740525275987746e-10	610162510274.8427
|311⟩→|211⟩	1.2726428615520783e-84	16552747.897447389	0.0	6933664889486.849
|411⟩→|211⟩	7.193066314001654e-85	16552747.897447389	0.0	9360447600807.246
|411⟩→|311⟩	7.023493321517621e-85	16552747.897447389	0.0	2426782711320.3965
|511⟩→|211⟩	4.8640873509223046e-85	16552747.897447389	0.0	10483701312904.113
|511⟩→|411⟩	4.356747333003071e-85	16552747.897447389	0.0	1123253712096.8694
|511⟩→|311⟩	4.347228192513776e-85	16552747.897447389	0.0	3550036423417.2656
|611⟩→|211⟩	3.594337432247963e-85	16552747.897447389	0.0	11093863823178.957
|611⟩→|311⟩	3.10021356241338e-85	16552747.897447389	0.0	4160198933692.109
|611⟩→|511⟩	2.950103285434144e-85	16552747.897447389	0.0	610162510274.8427
|611⟩→|411⟩	2.8437581107773054e-85	16552747.897447389	0.0	1733416222371.7122
