label	peak_strain	fwhm_yr	t_peak_yr	frequency_hz
|322⟩	1.1063864916552402e-38	0.008135049746911423	1.803059058075523e-08	1369630103134391.5
|433⟩	2.705775104263638e-42	33567.08529809083	0.08992919026034409	1371138029817454.2
|544⟩	6.2998081333999005e-46	247952290359.83508	970565.8269562996	1371835984453614.8
|533⟩	2.61720659722879e-56	0.0012455599072951767	0.06625525157256996	1371835984453614.8
|644⟩	3.9277824245902315e-58	7343.049465016113	614183.1388137786	1372215120305356.2
|422⟩	1.6144286917907237e-61	3.2154661810842843e-10	1.462384132484983e-08	1371138029817454.2
|633⟩	7.05394692472611e-67	0.0014963424650795698	0.0665582618759334	1372215120305356.2
|522⟩	2.8535474656743912e-74	4.724527185210317e-10	1.4697801714775924e-08	1371835984453614.8
|622⟩	2.9519359556444543e-81	7.006172260135162e-10	1.4697801714775924e-08	1372215120305356.2
|211⟩	1.8544902579545484e-90	672535508077.0547	0.0	1365321741182783.5
|311⟩	5.743197457717784e-91	672535508077.0547	0.0	1369630103134391.5
|411⟩	2.4369953540517978e-91	672535508077.0547	0.0	1371138029817454.2
|511⟩	1.2490752512984202e-91	672535508077.0547	0.0	1371835984453614.8
|611⟩	7.229577300570437e-92	672535508077.0547	0.0	1372215120305356.2
|655⟩	1.1234859349433715e-99	84664197416.52454	672535508077.0547	1372215120305356.2
