label	peak_strain	fwhm_yr	t_peak_yr	frequency_hz
|533⟩→|433⟩	1.4106230871106127e-41	785736.694680877	42448278.4425998	836672.1175995184
|422⟩→|322⟩	7.698706666935842e-43	0.02026581297878649	1.2035383154388202	1807624.9454310583
|644⟩→|544⟩	2.844617897207969e-44	9308983134453.0	2636006752784372.0	454488.55770838045
|633⟩→|433⟩	7.008082814795509e-48	714881.7008290589	42588882.21206709	1291160.675307899
|311⟩→|211⟩	5.1254982744021395e-48	5.582287441514073e-07	6.839760846813206e-07	5164642.701231596
|744⟩→|644⟩	4.5199284289041216e-48	53967764263205.0	2607150621413514.5	274042.2657796357
|522⟩→|322⟩	2.25142365360109e-50	0.021877259423776385	1.2072450970532806	2644297.0630305763
|755⟩→|655⟩	1.2101629681759455e-51	5.513925247847702e+20	2.792539232563648e+23	274042.2657796357
|633⟩→|533⟩	6.695503459372553e-52	706166.7132104486	42122240.6919033	454488.55770838045
|844⟩→|644⟩	4.763132238031844e-52	45409637726038.0	2616820146545055.0	451906.2363577646
|844⟩→|544⟩	2.0981375098734744e-52	17593297009280.0	2638041295526626.0	906394.794066145
|855⟩→|755⟩	1.0689958796523784e-52	5.483384112849653e+21	2.734681311256736e+23	177863.97057812888
|733⟩→|433⟩	1.0633894434560042e-52	928936.5166089907	42717912.90532721	1565202.941087535
|411⟩→|211⟩	1.9720268109170469e-54	4.675628309677141e-06	6.866152510027987e-07	6972267.646662654
|622⟩→|322⟩	1.8653963170973988e-54	0.026229233810879382	1.2108287998878975	3098785.620738957
|855⟩→|655⟩	4.881482737019163e-55	9.163809959036542e+20	2.7928988749261933e+23	451906.2363577646
|844⟩→|744⟩	1.9865523767309796e-55	64390414103436.5	2589915101083993.5	177863.97057812888
|833⟩→|433⟩	4.958682866114202e-56	944963.4817880318	42837122.39273236	1743066.9116656636
|722⟩→|322⟩	9.306596060328126e-57	0.027234160544470587	1.2171583385295472	3372827.886518593
|733⟩→|533⟩	7.527696212386231e-57	919095.1474422067	42122240.6919033	728530.8234880161
|511⟩→|211⟩	5.932899860117479e-57	4.675628309677141e-06	6.895749469334152e-07	7808939.764262171
|822⟩→|322⟩	3.937240995948473e-58	0.026204985492763733	1.21948151789165	3550691.857096722
|611⟩→|211⟩	3.707156168264129e-58	4.6767026794410235e-06	6.91201129731101e-07	8263428.321970552
|711⟩→|211⟩	8.054932249701677e-59	4.6767026794410235e-06	6.929427672745604e-07	8537470.587750189
|811⟩→|211⟩	3.157818374466908e-59	4.6767026794410235e-06	6.948167151814705e-07	8715334.558328317
|833⟩→|533⟩	2.883893992951253e-60	1059698.9169094935	42122240.6919033	906394.794066145
|522⟩→|422⟩	1.1905379343661508e-62	0.022935853385605665	1.1952810791057709	836672.1175995184
|833⟩→|633⟩	2.237769764644771e-66	1188729.6101696119	42293762.65430624	451906.2363577646
|622⟩→|422⟩	7.418169646986842e-67	0.032554989669943746	1.1952810791057709	1291160.675307899
|722⟩→|422⟩	2.9881852060061745e-69	0.032554989669943746	1.1952810791057709	1565202.941087535
|822⟩→|422⟩	1.0524649008915176e-70	0.032554989669943746	1.1952810791057709	1743066.9116656636
|833⟩→|733⟩	4.9126079275795505e-71	1307939.097574763	42293762.65430624	177863.97057812888
|622⟩→|522⟩	3.418047751867136e-74	0.04292439873053522	1.1952810791057709	454488.55770838045
|411⟩→|311⟩	5.566047795241538e-75	5.684061203648741e-07	6.774118057283131e-07	1807624.9454310583
|722⟩→|522⟩	1.2540116537935264e-76	0.04292439873053522	1.1952810791057709	728530.8234880161
|511⟩→|311⟩	1.5321206077155466e-77	5.702852739199003e-07	6.774118057283131e-07	2644297.0630305763
|822⟩→|522⟩	4.2472361259659894e-78	0.04292439873053522	1.1952810791057709	906394.794066145
|611⟩→|311⟩	9.236787958882272e-79	5.702852739199003e-07	6.774118057283131e-07	3098785.620738957
|711⟩→|311⟩	1.9698726050708603e-79	5.726357149047348e-07	6.774118057283131e-07	3372827.886518593
|811⟩→|311⟩	7.637101904381537e-80	5.726357149047348e-07	6.764618022229624e-07	3550691.857096722
|722⟩→|622⟩	1.4014078625661303e-80	0.050867924134203824	1.1995857101085263	274042.2657796357
|822⟩→|622⟩	4.330337766395168e-82	0.05457954798279818	1.1995857101085263	451906.2363577646
|511⟩→|411⟩	1.0456032912904127e-83	5.828574561314869e-07	6.755424017470641e-07	836672.1175995184
|822⟩→|722⟩	2.725495142852132e-84	0.0668389599723791	1.1995857101085263	177863.97057812888
|611⟩→|411⟩	5.769850409064118e-85	5.868709944508666e-07	6.746502296853685e-07	1291160.675307899
|711⟩→|411⟩	1.1866119563993712e-85	5.916150937265175e-07	6.737820284391127e-07	1565202.941087535
|811⟩→|411⟩	4.512490746981611e-86	5.916150937265175e-07	6.737820284391127e-07	1743066.9116656636
|611⟩→|511⟩	2.665021261350877e-87	4.721070851303813e-06	6.680832866188657e-07	454488.55770838045
|711⟩→|511⟩	5.0207031589994114e-88	4.731016381975644e-06	6.64610940863328e-07	728530.8234880161
|811⟩→|511⟩	1.841982465235286e-88	4.731016381975644e-06	6.635864103935425e-07	906394.794066145
|711⟩→|611⟩	4.547855502378618e-89	4.7409619126474744e-06	6.596552289965505e-07	274042.2657796357
|811⟩→|611⟩	1.5297779845170432e-89	4.7409619126474744e-06	6.586420702407201e-07	451906.2363577646
|811⟩→|711⟩	4.665529848989986e-90	4.770954334831824e-06	6.564421466776858e-07	177863.97057812888
|866⟩→|766⟩	1.3461942774422657e-91	1.0534592997307743e+29	1.0534592997307743e+29	177863.97057812888
