label	peak_strain	fwhm_yr	t_peak_yr	frequency_hz
|533⟩→|433⟩	1.5265328967672718e-44	40800813515.992676	2157572449588.2202	130188.58785719237
|422⟩→|322⟩	1.1609607822337574e-44	110.45283425169691	5756.608137636468	281271.64043220575
|644⟩→|544⟩	1.742973583269816e-48	5.942021689242812e+18	1.4534937589880555e+21	70719.72673724031
|311⟩→|211⟩	1.1988603817124935e-48	6.61960508822184e-05	7.729589567378428e-05	803633.2583777307
|633⟩→|433⟩	1.4186306479184786e-50	37211678195.464355	2172928684606.2932	200908.31459443268
|744⟩→|644⟩	5.035073460750397e-52	2.9811341970747163e+19	1.4378300808780977e+21	42641.76473024694
|522⟩→|322⟩	4.869939005559793e-52	113.97869671213357	5789.627118628238	411460.228289398
|633⟩→|533⟩	1.9966200615935494e-54	47526114666.34839	2148684272478.9072	70719.72673724031
|411⟩→|211⟩	4.346434693167264e-55	0.0005512964092180484	7.768141478484366e-05	1084904.8988099366
|733⟩→|433⟩	3.490892257345274e-55	48421430580.16406	2179663869799.119	243550.07932467962
|844⟩→|644⟩	1.0192433266508067e-55	3.122570398674138e+19	1.4445956941600795e+21	70317.91010805144
|622⟩→|322⟩	4.970270135510998e-56	116.82506885776456	5804.310493967484	482179.95502663834
|844⟩→|544⟩	4.801318804984397e-56	1.2002692796815507e+19	1.4552148009887264e+21	141037.63684529174
|511⟩→|211⟩	1.278295323779434e-57	0.000551399952445668	7.79720259834919e-05	1215093.486667129
|722⟩→|322⟩	2.7598323117593657e-58	127.84279653920657	5818.0203880847685	524821.7197568853
|833⟩→|433⟩	2.2678024626125065e-58	49370479631.256836	2185895950674.3716	271226.22470248415
|611⟩→|211⟩	7.905042079257117e-59	0.000551399952445668	7.812964884685756e-05	1285813.213404369
|844⟩→|744⟩	7.254159027597728e-59	3.701403230175337e+19	1.4288454820116095e+21	27676.14537780449
|733⟩→|533⟩	3.6310875129771023e-59	47526114666.34839	2148684272478.9072	113361.49146748724
|711⟩→|211⟩	1.7084124228309603e-59	0.000551399952445668	7.847453361960344e-05	1328454.978134616
|822⟩→|322⟩	1.2415967142949293e-59	129.83404837677517	5843.0547424004735	552497.8651346898
|811⟩→|211⟩	6.677176807934496e-60	0.005401367208360614	7.866434895788154e-05	1356131.1235124206
|833⟩→|533⟩	1.9341318925703854e-62	47526114666.34839	2148684272478.9072	141037.63684529174
|522⟩→|422⟩	4.605595224805047e-64	128.7771326211623	5716.9175457571155	130188.58785719237
|622⟩→|422⟩	3.489491292526841e-68	157.97350756497963	5716.9175457571155	200908.31459443268
|833⟩→|633⟩	2.79842737996255e-68	61586662211.4082	2157572449588.2202	70317.91010805144
|722⟩→|422⟩	1.569908146829897e-70	157.97350756497963	5716.9175457571155	243550.07932467962
|822⟩→|422⟩	5.906442891233832e-72	157.97350756497963	5716.9175457571155	271226.22470248415
|833⟩→|733⟩	9.983068066310209e-73	61586662211.4082	2157572449588.2202	27676.14537780449
|622⟩→|522⟩	2.3086793257395607e-75	173.80193126243194	5737.771903003419	70719.72673724031
|411⟩→|311⟩	1.0116734288439147e-75	6.728933936670718e-05	7.656120090550977e-05	281271.64043220575
|722⟩→|522⟩	9.463766147952782e-78	207.41775794554815	5737.771903003419	113361.49146748724
|511⟩→|311⟩	2.722460331282933e-78	6.765225259110455e-05	7.64699356233301e-05	411460.228289398
|822⟩→|522⟩	3.4211630272346675e-79	207.41775794554815	5737.771903003419	141037.63684529174
|611⟩→|311⟩	1.6244665233496365e-79	6.765225259110455e-05	7.64699356233301e-05	482179.95502663834
|711⟩→|311⟩	3.445957775771453e-80	6.789143110575781e-05	7.64699356233301e-05	524821.7197568853
|811⟩→|311⟩	1.3319374100255202e-80	6.789143110575781e-05	7.64699356233301e-05	552497.8651346898
|722⟩→|622⟩	1.2925972077415066e-81	261.65910363523017	5737.771903003419	42641.76473024694
|822⟩→|622⟩	4.261500033563835e-83	261.65910363523017	5737.771903003419	70317.91010805144
|511⟩→|411⟩	1.7511532953319215e-84	6.892216907868892e-05	7.629507347127012e-05	130188.58785719237
|822⟩→|722⟩	2.989191732198861e-85	322.94601585263536	5737.771903003419	27676.14537780449
|611⟩→|411⟩	9.563842594297561e-86	6.931325206394732e-05	7.621104919830542e-05	200908.31459443268
|711⟩→|411⟩	1.9563676271412497e-86	0.0005547607861613898	7.612902754220802e-05	243550.07932467962
|811⟩→|411⟩	7.417147262349135e-87	0.0005547607861613898	7.604881549806894e-05	271226.22470248415
|611⟩→|511⟩	4.318137893499537e-88	0.0005559524437279506	7.544873991463809e-05	70719.72673724031
|711⟩→|511⟩	8.09054106633983e-89	0.0005568557895297747	7.506712163463832e-05	113361.49146748724
|811⟩→|511⟩	2.9589344358903706e-89	0.0005578827477951658	7.489180406880131e-05	141037.63684529174
|711⟩→|611⟩	7.251424826270223e-90	0.0005603307550556309	7.441380519541228e-05	42641.76473024694
|811⟩→|611⟩	2.431498182026073e-90	0.0005603307550556309	7.421570024260657e-05	70317.91010805144
|811⟩→|711⟩	7.375642866463642e-91	0.0005644465406122391	7.399753843565749e-05	27676.14537780449
|855⟩→|755⟩	3.779910926346267e-91	1.2970922479117265e+28	5.536799983599601e+28	27676.14537780449
|755⟩→|655⟩	2.7526259322381424e-91	1.2970922479117265e+28	5.536799983599601e+28	42641.76473024694
|855⟩→|655⟩	1.4965831843714676e-91	1.2970922479117265e+28	5.536799983599601e+28	70317.91010805144
|866⟩→|766⟩	2.0727157709712232e-92	5.536799983599601e+28	0.0	27676.14537780449
