label	peak_strain	fwhm_yr	t_peak_yr	frequency_hz
|422⟩→|322⟩	3.40211997169474e-50	128.35167158861077	5599.069612004373	2174366061.6724825
|311⟩→|211⟩	2.017398588943133e-51	8.837347171270392e-07	9.022437787723817e-07	6212474461.921379
|533⟩→|433⟩	6.134393832402461e-53	1295734527183.0703	54155323741447.92	1006420862.8312635
|522⟩→|322⟩	4.167240639882993e-56	146.6458373360092	5617.540362680648	3180786924.503746
|411⟩→|211⟩	6.711976594640747e-57	7.231964870769437e-06	9.078698171867604e-07	8386840523.593863
|633⟩→|433⟩	2.011910024935503e-57	1371934025185.375	54389016894356.32	1553118615.4803448
|511⟩→|211⟩	4.596862822569419e-59	7.231964870769437e-06	9.11030066462285e-07	9393261386.425127
|622⟩→|322⟩	2.597925899078533e-59	148.12796609063298	5650.629288366353	3727484677.1528277
|644⟩→|544⟩	1.918535971394742e-59	8.15424140013838e+21	9.103573663605455e+23	546697752.6490816
|611⟩→|211⟩	4.1803136569821665e-60	7.233221344813778e-06	9.144776555163561e-07	9939959139.074207
|633⟩→|533⟩	2.4106439721280361e-60	1425038290683.0078	53620390706361.484	546697752.6490816
|522⟩→|422⟩	8.744899115788539e-66	148.9969869794486	5557.116693584956	1006420862.8312635
|622⟩→|422⟩	4.0882256067194186e-69	200.80032783390197	5557.116693584956	1553118615.4803448
|411⟩→|311⟩	2.5062895451523137e-74	8.998927388971581e-07	8.929805351220324e-07	2174366061.6724825
|622⟩→|522⟩	7.930821334370164e-75	217.9277328821854	5557.116693584956	546697752.6490816
|511⟩→|311⟩	1.570607036271454e-76	9.019606553025062e-07	8.929805351220324e-07	3180786924.503746
|611⟩→|311⟩	1.3781286527446195e-77	9.043427452976076e-07	8.929805351220324e-07	3727484677.1528277
|511⟩→|411⟩	9.270724168762942e-82	9.199299648699582e-07	8.919599293883357e-07	1006420862.8312635
|611⟩→|411⟩	7.445260951242108e-83	7.275252081885438e-06	8.909634410037649e-07	1553118615.4803448
|611⟩→|511⟩	7.824581828495738e-85	7.29643970316764e-06	8.890364613353494e-07	546697752.6490816
