label	peak_strain	fwhm_yr	t_peak_yr	frequency_hz
|211⟩	3.859318594077726e-39	0.1546105533425578	6.746043672035732e-12	847846738661655.8
|322⟩	9.328431043458724e-41	132.7330041028067	1.371568839402296e-05	848867679756931.2
|433⟩	7.863423663910197e-45	4372319302.779602	528.5683202289077	849225009140277.8
|544⟩	7.104122658676434e-49	1.6948432309417306e+16	40101794636.29669	849390401597712.5
|533⟩	3.040465622875612e-60	9.044033908917129	366.8824124007409	849390401597712.5
|644⟩	1.297643943878846e-63	275238535.1740303	22477245041.225586	849480244414096.6
|422⟩	4.862876273723125e-64	2.304257928550585e-07	1.0520750613787666e-05	849225009140277.8
|633⟩	2.2206247597405423e-70	10.456983880963207	368.5616593651888	849480244414096.6
|311⟩	3.072711288643151e-74	5.631112561597828e-12	5.844331713591678e-12	848867679756931.2
|522⟩	1.4494922735792588e-76	3.245347310144003e-07	1.0520750613787666e-05	849390401597712.5
|622⟩	1.959835023254201e-83	5.001724025322903e-07	1.0520750613787666e-05	849480244414096.6
|411⟩	5.521419242961095e-85	5.7531710919167156e-12	5.706883320324766e-12	849225009140277.8
|511⟩	3.280054750647373e-89	5.990289392824233e-12	5.6535197919882305e-12	849390401597712.5
|611⟩	3.101083761306811e-91	4.677780349770136e-11	5.6216437963399476e-12	849480244414096.6
|655⟩	3.331604644708815e-104	442.25691889292835	0.0	849480244414096.6
