label	peak_strain	fwhm_yr	t_peak_yr	frequency_hz
|311⟩→|211⟩	8.091410699377507e-53	0.019556867784226727	0.015597136007303447	224291293.53945282
|422⟩→|322⟩	1.607783863410076e-53	569708666.629612	24464141298.682987	78501952.73880848
|411⟩→|211⟩	2.6597685012360235e-58	0.16517222683199645	0.0156964119026591	302793246.2782613
|533⟩→|433⟩	2.4109430727888606e-58	4.511467708489841e+20	1.769010883798259e+22	36335189.55339136
|522⟩→|322⟩	3.8712637552872015e-59	589702569.8038216	24635462863.007843	114837142.29219982
|511⟩→|211⟩	1.8132529954647046e-60	0.16517222683199645	0.015764108706461756	339128435.83165264
|611⟩→|211⟩	1.645486897485599e-61	0.16519324106820388	0.015813493230661245	358866069.6631245
|622⟩→|322⟩	3.463846540165134e-62	605254116.8644485	24711940052.222515	134574776.12367168
|633⟩→|433⟩	2.5506261435824226e-62	4.806191441035437e+20	1.7771993512091174e+22	56072823.384863205
|633⟩→|533⟩	6.141640788881172e-65	5.297857173746247e+20	1.7504022744799482e+22	19737633.831471853
|522⟩→|422⟩	2.4337096924110953e-68	819997956.7901115	24260551710.322716	36335189.55339136
|622⟩→|422⟩	1.6348478264230427e-71	819997956.7901115	24260551710.322716	56072823.384863205
|411⟩→|311⟩	9.544170378613707e-76	0.019827504754475686	0.015433811511893668	78501952.73880848
|622⟩→|522⟩	6.1423809830565e-77	1069040626.9547958	24367146102.796825	19737633.831471853
|511⟩→|311⟩	5.953537655076512e-78	0.019861133135104243	0.015433811511893668	114837142.29219982
|611⟩→|311⟩	5.2129705457667596e-79	0.019899377089884727	0.015433811511893668	134574776.12367168
|644⟩→|544⟩	5.4193059683735584e-83	0.0	6.479066612250165e+33	19737633.831471853
|511⟩→|411⟩	3.471978949756784e-83	0.020149216542438793	0.015433811511893668	36335189.55339136
|611⟩→|411⟩	2.7824548950952884e-84	0.02031227153440279	0.015433811511893668	56072823.384863205
|611⟩→|511⟩	2.9106916342289964e-86	0.16637029517820562	0.01541934033722273	19737633.831471853
