label	peak_strain	fwhm_yr	t_peak_yr	frequency_hz
|211⟩	2.125982277385656e-40	121.60297480952373	1.0235759092099896e-10	587379268220444.2
|322⟩	2.5340353122633274e-42	185662.67563119257	0.002106056400506793	587717592876802.2
|433⟩	1.0481697519081915e-46	22666572590473.293	348045.9495567168	587836006506527.5
|544⟩	4.643382121902037e-51	5.156207404118099e+20	107154607972127.34	587890815100857.5
|533⟩	3.623516589102815e-63	4585.448872150941	228830.99303515704	587890815100857.5
|422⟩	6.186893716167258e-66	3.5039260797838784e-05	0.001621074063896937	587836006506527.5
|644⟩	1.072301606774624e-67	729949334459.9453	57463149332705.18	587920587670617.0
|633⟩	5.635856604646448e-73	6363.495401251857	229946.86866171297	587920587670617.0
|311⟩	1.2849535385819943e-75	8.962138616388265e-11	8.83253480487354e-11	587717592876802.2
|522⟩	2.836851402048653e-78	4.9208572767693755e-05	0.001621074063896937	587890815100857.5
|622⟩	4.835495388524401e-85	8.033508371944431e-05	0.001621074063896937	587920587670617.0
|411⟩	2.1353740765168508e-86	9.17820229749944e-11	8.615679511903086e-11	587836006506527.5
|511⟩	1.2342234250346081e-90	9.435959379782779e-11	8.528812635060786e-11	587890815100857.5
|611⟩	1.1527075806159511e-92	7.477338266518247e-10	8.484614754061671e-11	587920587670617.0
|655⟩	1.898406111671837e-106	3.6585856200814526e+20	5.156208283512567e+20	587920587670617.0
