label	peak_strain	fwhm_yr	t_peak_yr	frequency_hz
|533⟩→|433⟩	2.348105966004574e-42	1.650336250260721e-05	0.0008502583008920566	742002251617.5659
|422⟩→|322⟩	4.496223526463172e-44	2.4006097343436465e-11	1.2055885557713747e-09	1603091284358.9385
|644⟩→|544⟩	2.3784309259790374e-44	13.161723456152231	3007.523804795278	403062951495.9618
|633⟩→|433⟩	8.30059018413576e-48	1.792330130299621e-05	0.0008533189436744078	1145065203113.5276
|522⟩→|322⟩	1.7055949439101554e-50	3.0356530351225165e-11	1.2113276171199556e-09	2345093535976.504
|633⟩→|533⟩	2.5875337074978651e-51	1.9608836247681188e-05	0.0008432780002719606	403062951495.9618
|622⟩→|322⟩	5.627317269350556e-54	3.188020550766006e-11	1.2165127948438596e-09	2748156487472.4663
|522⟩→|422⟩	5.734769270728947e-61	2.9780256952963576e-11	1.1980635642187223e-09	742002251617.5659
|622⟩→|422⟩	1.4336074723943211e-64	3.959648587003095e-11	1.1980635642187223e-09	1145065203113.5276
|622⟩→|522⟩	8.679258030236367e-71	4.230902253436043e-11	1.1980635642187223e-09	403062951495.9618
|311⟩→|211⟩	8.406471820187972e-85	735388180.2428902	0.0	4580260812454.11
|411⟩→|211⟩	4.7506154495035574e-85	735388180.2428902	0.0	6183352096813.05
|411⟩→|311⟩	4.6395767154067135e-85	735388180.2428902	0.0	1603091284358.9385
|511⟩→|211⟩	3.212210950340343e-85	735388180.2428902	0.0	6925354348430.615
|511⟩→|411⟩	2.8780010897069885e-85	735388180.2428902	0.0	742002251617.5659
|511⟩→|311⟩	2.8714482295978757e-85	735388180.2428902	0.0	2345093535976.504
|611⟩→|211⟩	2.3735781129986127e-85	735388180.2428902	0.0	7328417299926.577
|611⟩→|311⟩	2.047672911150388e-85	735388180.2428902	0.0	2748156487472.4663
|611⟩→|511⟩	1.9487962855747856e-85	735388180.2428902	0.0	403062951495.9618
|611⟩→|411⟩	1.8784480333797944e-85	735388180.2428902	0.0	1145065203113.5276
