label	peak_strain	fwhm_yr	t_peak_yr	frequency_hz
|644⟩→|544⟩	1.1684060381198035e-33	0.004292348965554638	1.793083093316283	91102650.14315517
|755⟩→|655⟩	1.1483337969306925e-36	11.36325514303644	10415.485108517018	54932024.66887833
|855⟩→|755⟩	8.012020844800008e-38	142.09587344822467	10239.277924365124	35652996.7802816
|744⟩→|644⟩	4.4149694477748574e-38	0.027941133964617615	1.7741379094484258	54932024.66887833
|855⟩→|655⟩	4.713654614609771e-41	19.684594910993837	10415.485108517018	90585021.44915995
|866⟩→|766⟩	1.6567347761125628e-41	1924706.9126074314	1885826033.6294863	35652996.7802816
|844⟩→|644⟩	9.561098327992461e-43	0.030839636723999808	1.7814516620387943	90585021.44915995
|844⟩→|544⟩	3.535923431192617e-43	0.009284597407334116	1.7944766960190426	181687671.5923151
|844⟩→|744⟩	1.1133198686598158e-46	0.03456628080049562	1.7681233585045457	35652996.7802816
|311⟩→|211⟩	1.9019199615187622e-88	18853951496050.195	0.0	1035257387.9903995
|422⟩→|322⟩	1.2113536632959218e-88	18853951496050.195	0.0	362340085.7966398
|411⟩→|211⟩	1.0786347075141132e-88	18853951496050.195	0.0	1397597473.7870393
|411⟩→|311⟩	1.0487714571327998e-88	18853951496050.195	0.0	362340085.7966398
|522⟩→|422⟩	8.409835713735149e-89	18853951496050.195	0.0	167711696.85444468
|533⟩→|433⟩	7.706996448270905e-89	18853951496050.195	0.0	167711696.85444468
|511⟩→|211⟩	7.305500437617489e-89	18853951496050.195	0.0	1565309170.6414838
|522⟩→|322⟩	6.969066402386136e-89	18853951496050.195	0.0	530051782.65108436
|511⟩→|411⟩	6.504612539257555e-89	18853951496050.195	0.0	167711696.85444468
|511⟩→|311⟩	6.502825071212888e-89	18853951496050.195	0.0	530051782.65108436
|633⟩→|533⟩	6.1445606807790565e-89	18853951496050.195	0.0	91102650.14315517
|622⟩→|522⟩	5.926876282263123e-89	18853951496050.195	0.0	91102650.14315517
|611⟩→|211⟩	5.403098329144275e-89	18853951496050.195	0.0	1656411820.784639
|622⟩→|422⟩	5.260899158489274e-89	18853951496050.195	0.0	258814346.99759987
|622⟩→|322⟩	4.7964484156493576e-89	18853951496050.195	0.0	621154432.7942396
|611⟩→|311⟩	4.641836003078012e-89	18853951496050.195	0.0	621154432.7942396
|611⟩→|511⟩	4.4043658956048876e-89	18853951496050.195	0.0	91102650.14315517
|633⟩→|433⟩	4.384779777942922e-89	18853951496050.195	0.0	258814346.99759987
|722⟩→|622⟩	4.354069343394656e-89	18853951496050.195	0.0	54932024.66887833
|611⟩→|411⟩	4.250221882099106e-89	18853951496050.195	0.0	258814346.99759987
|711⟩→|211⟩	4.217634337335619e-89	18853951496050.195	0.0	1711343845.4535174
|722⟩→|522⟩	3.8948447596987415e-89	18853951496050.195	0.0	146034674.8120335
|733⟩→|533⟩	3.817211268157777e-89	18853951496050.195	0.0	146034674.8120335
|722⟩→|422⟩	3.7955784583585264e-89	18853951496050.195	0.0	313746371.6664782
|833⟩→|733⟩	3.683828346690844e-89	18853951496050.195	0.0	35652996.7802816
|722⟩→|322⟩	3.5999782654437704e-89	18853951496050.195	0.0	676086457.463118
|711⟩→|311⟩	3.557118918514919e-89	18853951496050.195	0.0	676086457.463118
|811⟩→|211⟩	3.41604247643467e-89	18853951496050.195	0.0	1746996842.233799
|822⟩→|722⟩	3.319558700021403e-89	18853951496050.195	0.0	35652996.7802816
|711⟩→|611⟩	3.173186878146625e-89	18853951496050.195	0.0	54932024.66887833
|711⟩→|411⟩	3.1408825515146992e-89	18853951496050.195	0.0	313746371.6664782
|833⟩→|633⟩	3.0886652479227825e-89	18853951496050.195	0.0	90585021.44915995
|733⟩→|433⟩	3.010343030337477e-89	18853951496050.195	0.0	313746371.6664782
|711⟩→|511⟩	2.9793085868070548e-89	18853951496050.195	0.0	146034674.8120335
|822⟩→|622⟩	2.956551739256922e-89	18853951496050.195	0.0	90585021.44915995
|822⟩→|422⟩	2.9385316673828038e-89	18853951496050.195	0.0	349399368.4467598
|822⟩→|522⟩	2.8997694625410937e-89	18853951496050.195	0.0	181687671.5923151
|811⟩→|311⟩	2.8495310804370608e-89	18853951496050.195	0.0	711739454.2433996
|822⟩→|322⟩	2.8464782572258555e-89	18853951496050.195	0.0	711739454.2433996
|833⟩→|533⟩	2.7503869672292536e-89	18853951496050.195	0.0	181687671.5923151
|811⟩→|411⟩	2.467987502197545e-89	18853951496050.195	0.0	349399368.4467598
|811⟩→|711⟩	2.392508570003847e-89	18853951496050.195	0.0	35652996.7802816
|833⟩→|433⟩	2.2622541614116783e-89	18853951496050.195	0.0	349399368.4467598
|811⟩→|511⟩	2.256558825063305e-89	18853951496050.195	0.0	181687671.5923151
|811⟩→|611⟩	2.19996611054375e-89	18853951496050.195	0.0	90585021.44915995
