label	peak_strain	fwhm_yr	t_peak_yr	frequency_hz
|422⟩→|322⟩	7.441973883688599e-46	2.0021532008266776e-07	1.0602106084692652e-05	178664691673.22275
|533⟩→|433⟩	6.890005712800946e-46	7.616807093513273	370.10348800927574	82696228717.32025
|644⟩→|544⟩	2.1194789925395786e-49	133465455.8093071	22545046236.82901	44921408192.124596
|311⟩→|211⟩	8.928659895739538e-50	5.536140334442686e-12	5.952117143165214e-12	510470547637.7794
|633⟩→|433⟩	5.0958056072224363e-51	8.27450101312354	371.5164379813218	127617636909.44485
|522⟩→|322⟩	3.7780786148656416e-52	2.1737203665940374e-07	1.0638904823426081e-05	261360920390.54297
|633⟩→|533⟩	2.4819450831859262e-54	9.044033908917129	366.8824124007409	44921408192.124596
|411⟩→|211⟩	3.2377508651680947e-55	4.6036793706955824e-11	5.977566629677017e-12	689135239311.0022
|622⟩→|322⟩	1.4666727815485066e-55	2.8207624848319465e-07	1.0710712357194295e-05	306282328582.6676
|511⟩→|211⟩	2.2915823031358883e-57	4.604709687722705e-11	6.005914297380513e-12	771831468028.3224
|611⟩→|211⟩	2.115452484015536e-58	4.604709687722705e-11	6.037901428470101e-12	816752876220.4469
|522⟩→|422⟩	1.9935246165626714e-62	2.877359922809709e-07	1.0520750613787666e-05	82696228717.32025
|622⟩→|422⟩	5.816111352441824e-66	3.245347310144003e-07	1.0520750613787666e-05	127617636909.44485
|622⟩→|522⟩	4.676668516502464e-72	4.251083364875455e-07	1.0520750613787666e-05	44921408192.124596
|411⟩→|311⟩	1.5998676023364835e-72	5.64703491217161e-12	5.88822183865086e-12	178664691673.22275
|511⟩→|311⟩	1.0360118476650054e-74	5.6656039566746685e-12	5.88822183865086e-12	261360920390.54297
|611⟩→|311⟩	9.227586732054624e-76	5.6656039566746685e-12	5.878919769540037e-12	306282328582.6676
|511⟩→|411⟩	6.663827172744563e-80	5.786685191283045e-12	5.8699090483757976e-12	82696228717.32025
|611⟩→|411⟩	5.432688733880769e-81	5.8245180804942415e-12	5.861159805051372e-12	127617636909.44485
|611⟩→|511⟩	5.903293146321615e-83	4.6480622570219115e-11	5.789297599057707e-12	44921408192.124596
