label	peak_strain	fwhm_yr	t_peak_yr	frequency_hz
|655⟩	3.182012417187621e-35	50803.70250419543	5634.417579715711	51426919289.37141
|766⟩	7.589391313540017e-38	4504209314.501952	974952608.6508751	51550316983.063515
|755⟩	2.4017938127952226e-44	27.47140414562	4161.05982329506	51550316983.063515
|855⟩	4.636127026127035e-46	67.48901150007805	4075.158852826092	51630406832.33483
|866⟩	2.91499202441611e-51	3212051.319618106	616558735.3983692	51630406832.33483
|211⟩	2.662918097578047e-90	55910330921960.94	0.0	47706004218.04026
|311⟩	7.516068905454153e-91	55910330921960.94	0.0	50031576137.62223
|411⟩	3.086533461688769e-91	55910330921960.94	0.0	50845526309.47592
|511⟩	1.5581792867671736e-91	55910330921960.94	0.0	51222268960.4482
|322⟩	1.322432360405313e-91	55910330921960.94	0.0	50031576137.62223
|611⟩	8.944656844911142e-92	55910330921960.94	0.0	51426919289.37141
|422⟩	7.506547980164576e-92	55910330921960.94	0.0	50845526309.47592
|711⟩	5.604604163026715e-92	55910330921960.94	0.0	51550316983.063515
|522⟩	4.294923192197234e-92	55910330921960.94	0.0	51222268960.4482
|811⟩	3.7422296031879335e-92	55910330921960.94	0.0	51630406832.33483
|622⟩	2.6264927372819574e-92	55910330921960.94	0.0	51426919289.37141
|722⟩	1.7073241270420117e-92	55910330921960.94	0.0	51550316983.063515
|822⟩	1.1668977291786134e-92	55910330921960.94	0.0	51630406832.33483
|433⟩	2.3254100957477046e-93	55910330921960.94	0.0	50845526309.47592
|533⟩	1.9178323359531816e-93	55910330921960.94	0.0	51222268960.4482
|633⟩	1.3634739877557745e-93	55910330921960.94	0.0	51426919289.37141
|733⟩	9.600728824472603e-94	55910330921960.94	0.0	51550316983.063515
|833⟩	6.88633962478989e-94	55910330921960.94	0.0	51630406832.33483
|877⟩	1.153323456638051e-94	0.0	55910330921960.94	51630406832.33483
|644⟩	2.67013329447716e-95	55910330921960.94	0.0	51426919289.37141
|544⟩	2.4526085039169688e-95	55910330921960.94	0.0	51222268960.4482
|744⟩	2.268622204614734e-95	55910330921960.94	0.0	51550316983.063515
|844⟩	1.8066828026168873e-95	55910330921960.94	0.0	51630406832.33483
