label	peak_strain	fwhm_yr	t_peak_yr	frequency_hz
|533⟩→|433⟩	1.2760270106676397e-40	2.4061738306977045e-08	1.277033838831747e-06	2237153437162.2476
|644⟩→|544⟩	7.638767770025805e-42	0.004897330097704655	1.0745669273299843	1215243842409.1226
|422⟩→|322⟩	2.5023440538019317e-44	8.082687376160273e-12	3.4694176480221594e-10	4833356191399.917
|633⟩→|433⟩	3.125889337838701e-46	3.145055908920289e-08	1.286368986911637e-06	3452397279571.3696
|633⟩→|533⟩	7.888770809780019e-50	2.8558094737890694e-08	1.2717304307080847e-06	1215243842409.1226
|522⟩→|322⟩	1.2188733630218452e-50	8.957793271131245e-12	3.4861978271838054e-10	7070509628562.164
|622⟩→|322⟩	4.566580154354679e-54	9.386860644944429e-12	3.5001338850151033e-10	8285753470971.287
|522⟩→|422⟩	6.34815865718259e-61	1.0285718296229915e-11	3.4392316851918276e-10	2237153437162.2476
|622⟩→|422⟩	1.8262668043913204e-64	1.0285718296229915e-11	3.4392316851918276e-10	3452397279571.3696
|622⟩→|522⟩	1.4385617201973086e-70	1.4110884171208276e-11	3.4506862672023216e-10	1215243842409.1226
|311⟩→|211⟩	2.5349691911610243e-84	26925.214562617446	0.0	13809589118285.479
|411⟩→|211⟩	1.4333497601536471e-84	26925.214562617446	0.0	18642945309685.4
|411⟩→|311⟩	1.3988665026475179e-84	26925.214562617446	0.0	4833356191399.917
|511⟩→|211⟩	9.694364124859323e-85	26925.214562617446	0.0	20880098746847.645
|511⟩→|411⟩	8.677154374316225e-85	26925.214562617446	0.0	2237153437162.2476
|511⟩→|311⟩	8.660118962274213e-85	26925.214562617446	0.0	7070509628562.164
|611⟩→|211⟩	7.164406991237869e-85	26925.214562617446	0.0	22095342589256.766
|611⟩→|311⟩	6.176611180764471e-85	26925.214562617446	0.0	8285753470971.287
|611⟩→|511⟩	5.875578484947888e-85	26925.214562617446	0.0	1215243842409.1226
|611⟩→|411⟩	5.664489592001495e-85	26925.214562617446	0.0	3452397279571.3696
