"alpha","Nmax","SR_rate"
0.01,"106.`16.","2.5738400710088315878164466583988706584825`16.*^-18"
0.01,"137.`16.","2.4440771583442653541901313653569931917709`16.*^-18"
0.01,"179.`16.","1.5358654043685154008888981153080154643683`16.*^-18"
0.01,"232.`16.","8.561647754828435205515609580193631846159`16.*^-19"
0.01,"302.`16.","4.453259837180856610063668974364004226542`16.*^-19"
0.01,"392.`16.","2.285895669281120567159116358671388845024`16.*^-19"
0.01,"510.`16.","1.183624367457302742395883157797696888263`16.*^-19"
0.01,"663.`16.","6.5055736325909960616037298766868607115`16.*^-20"
0.01,"861.`16.","3.98760086778737627456705128462967677871`16.*^-20"
0.01,"1119.`16.","2.81167266774105310074149999689003091134`16.*^-20"
0.01,"1455.`16.","2.27286130237147991759993939533043815968`16.*^-20"
0.01,"1890.`16.","2.03084382778479772947160055604739414318`16.*^-20"
0.01,"2457.`16.","1.92293871477176816349559069468333594735`16.*^-20"
0.01,"3193.`16.","1.87585307060291107238012281139405480882`16.*^-20"
0.01,"4150.`16.","1.85564265394509837409610337912579018889`16.*^-20"
0.01,"5394.`16.","1.84716553274626853484217684446373748464`16.*^-20"
0.01,"7010.`16.","1.84370776030741808057281225177359158878`16.*^-20"
0.01,"9111.`16.","1.84234314794718438255695633209228865377`16.*^-20"
0.01,"11841.`16.","1.84182724862793159821567664026326602725`16.*^-20"
0.01,"15389.`16.","1.8416421312813539669745251051517892466`16.*^-20"
0.01,"20000.`16.","1.84157989271202454186597581201219797932`16.*^-20"
0.02,"48.`16.","3.800191635361529528165408602675699985299507`16.*^-16"
0.02,"63.`16.","6.096770025431386634837920222083897248563617`16.*^-16"
0.02,"81.`16.","4.266416669337774300534380656402790065016937`16.*^-16"
0.02,"106.`16.","2.408971238198861391399863255614495938497674`16.*^-16"
0.02,"137.`16.","1.300460786879245239178560486124535613035865`16.*^-16"
0.02,"179.`16.","6.71681914832975982956098921043825447620444`16.*^-17"
0.02,"232.`16.","3.64338014373996719109676193446157501346514`16.*^-17"
0.02,"302.`16.","2.1254169432119982043167579524351721746555`16.*^-17"
0.02,"392.`16.","1.42005721459029266130232366844767412916994`16.*^-17"
0.02,"510.`16.","1.09314698640150145220452021100359526611723`16.*^-17"
0.02,"663.`16.","9.4700594410219245550951897877599152235147`16.*^-18"
0.02,"861.`16.","8.829275989089293036580983711422455748305`16.*^-18"
0.02,"1119.`16.","8.5524449225985151412248548982656754180702`16.*^-18"
0.02,"1455.`16.","8.4362777682064429851808095821480923688856`16.*^-18"
0.02,"1890.`16.","8.3892461246373143116134655746975180617755`16.*^-18"
0.02,"2457.`16.","8.3707612778587899468822858350444366359553`16.*^-18"
0.02,"3193.`16.","8.363859857632799147314124827868040629198`16.*^-18"
0.02,"4150.`16.","8.361419252111194231437181018432284161727`16.*^-18"
0.02,"5394.`16.","8.3606148324805731209128022456429051516982`16.*^-18"
0.02,"7010.`16.","8.3603714956994902188553787593079465483293`16.*^-18"
0.02,"9111.`16.","8.3603050676076500467964085060386167657843`16.*^-18"
0.02,"11841.`16.","8.3602890752097427529749771289899209649719`16.*^-18"
0.02,"15389.`16.","8.3602857571352672366496987744413979110067`16.*^-18"
0.02,"20000.`16.","8.3602851800852746286738105771186900823135`16.*^-18"
0.05,"22.`16.","7.0852563486589283159854864`16.*^-13"
0.05,"29.`16.","5.7212843865544833158909973`16.*^-13"
