"alpha"	"CF_Gamma"	"Hydro_Gamma"
"0.01000000000000000020816681711721685133`16."	"2.409082932822410405367970696048380433674705358557334051692`43.*^-20"	1.2238140953825354e-20
"0.01064592840636381133878618499011281529`16."	"4.202702268959719746592939153763037544235962320330661345784`43.*^-20"	2.1354435665833322e-20
"0.01129185681272762246940555286300877924`16."	"7.090581493563824612965385539895478263035014163094218599841`43.*^-20"	3.604460607531809e-20
"0.01193778521909143533474839671271183761`16."	"1.1607569231819211968031173138972346079255483868844002180804`43.*^-19"	5.90713174360204e-20
"0.01258371362545524646536776458560780156`16."	"1.8531376908541899020685843481616776966883302667017074242032`43.*^-19"	9.428617075084087e-20
"0.01322964203181905759598713245850376552`16."	"2.8859835960659780846443884010495804470644427899263240966459`42.*^-19"	1.4696099892211719e-19
"0.01387557043818286872660650033139972948`16."	"4.4009965811687064398663725219051087613132356122870363817972`42.*^-19"	2.2419322505525757e-19
"0.01452149884454667985722586820429569343`16."	"6.5803987256721854182415361299651587791942324191594198129328`42.*^-19"	3.353963769093892e-19
"0.01516742725091049098784523607719165739`16."	"9.6646396057821890625596906207278861287114691800505032925784`42.*^-19"	4.92887734633626e-19
"0.01581335565727430211846460395008762134`16."	"1.39665702480841136043644842082637565743629155544372405161417`42.*^-18"	7.125859739727643e-19
"0.0164592840636381132490839718229835853`16."	"1.98838928750997940913911584288313194966593760270257391475557`42.*^-18"	1.0148325507425495e-18
"0.01710521247000192784915029164949373808`16."	"2.79148324007250195265456332659493203406522572999267385193957`41.*^-18"	1.4253514513489355e-18
"0.01775114087636573551032270756877551321`16."	"3.86917433468523485869219183895963808606507413750398099329346`41.*^-18"	1.9763628053583173e-18
"0.01839706928272955011038902739528566599`16."	"5.29964503344423450248429359014417697029563292838198354735636`41.*^-18"	2.707866716628443e-18
"0.01904299768909335777156144331456744112`16."	"7.17886546213592885615398875854975850315838645972034704596189`41.*^-18"	3.669114516402924e-18
"0.0196889260954571723716277631410775939`16."	"9.62426944390105567184271154484013644451925552393113642150121`41.*^-18"	4.920285472284221e-18
"0.02033485450182098350224713101397355786`16."	"1.277839765338377957916964186114514478444210112429683974384377`41.*^-17"	6.534387798461296e-18
"0.02098078290818479463286649888686952181`16."	"1.681341566429162649919961487050183230646787620033137414410195`41.*^-17"	8.599403602414518e-18
"0.02162671131454860576348586675976548577`16."	"2.193486076336150278492333035841213749181302840341413957242454`40.*^-17"	1.1220698169083833e-17
"0.02227263972091241689410523463266144972`16."	"2.838748014171774368806210007323778123808152900026036589794616`40.*^-17"	1.4523714722799756e-17
"0.02291856812727622802472460250555741368`16."	"3.646159806772807880329025415078643085762301787599410849217305`40.*^-17"	1.8656976517865954e-17
"0.02356449653364003915534397037845337763`16."	"4.649901637890979947822941112111491851019151359982946563268238`40.*^-17"	2.379541878836705e-17
"0.02421042494000385375541029020496353041`16."	"5.8900920516761258038381853588352093119082437152308017807034`40.*^-17"	3.0144073734466233e-17
"0.02485635334636766141658270612424530555`16."	"7.413563121930649120975582345418158286579608522803488363791094`40.*^-17"	3.794213233415217e-17
"0.02550228175273147601664902595075545833`16."	"9.274547274274074698987256227668012071360155983599143592700301`40.*^-17"	4.746740734417993e-17
"0.02614821015909528367782144187003723346`16."	"1.1536119573002738245253564828982135012196851341030438038775086`40.*^-16"	5.904122238999093e-17
"0.02679413856545909827788776169654738624`16."	"1.4270629592210352874917460221725704110609851697265055667439269`40.*^-16"	7.303375253994958e-17
"0.02744006697182290593906017761582916137`16."	"1.7561528080290008941880389359873864092332613719020691331191252`40.*^-16"	8.986984221261537e-17
"0.02808599537818672053912649744233931415`16."	"2.1504128130123588586944068242661292152720637911558123351710403`39.*^-16"	1.1003532667540487e-16
"0.02873192378455053513919281726884946693`16."	"2.6207085588625496362197898284797714438850309602695648710766602`39.*^-16"	1.3408388375734098e-16
"0.02937785219091434280036523318813124206`16."	"3.1793847420451891615264788707103182075290996868265872906336324`39.*^-16"	1.6264444271622367e-16
"0.03002378059727815740043155301464139484`16."	"3.8404587783443254184700474680468303745777132497662311522439618`39.*^-16"	1.9642917747007761e-16
"0.03066970900364196506160396893392316997`16."	"4.6197609042654880455960639857519309513914440586121675622993793`39.*^-16"	2.362421116228449e-16
"0.03131563741000577966167028876043332275`16."	"5.535114991139480168703708622760235866873785144589905201756677`39.*^-16"	2.8298836288376514e-16
"0.03196156581636958732284270467971509788`16."	"6.6065663304375490940145654500469886985429711818666790238562536`39.*^-16"	3.3768405459749117e-16
"0.03260749422273340192290902450622525066`16."	"7.8565695382630934023430334385304278088797144790904851240001394`39.*^-16"	4.0146692216668073e-16
"0.03325342262909720958408144042550702579`16."	"9.3102516334967934963053509009143332568235122987158794898404315`39.*^-16"	4.756076421594323e-16
"0.03389935103546102418414776025201717857`16."	"1.09956202153203980099392682899925700536530278393634805689339152`39.*^-15"	5.615219118495927e-16
"0.0345452794418248318453201761712989537`16."	"1.29438418097002072366366491652990321517498750664919239412883651`39.*^-15"	6.6078330683757965e-16
"0.03519120784818864644538649599780910648`16."	"1.5189545519645823866263709881179089535347483713589488989509001`39.*^-15"	7.75136944242196e-16
"0.03583713625455245410655891191709088162`16."	"1.77710516124416291496300122407862005591193595133371751935130661`39.*^-15"	9.06513978738904e-16
"0.0364830646609162687066252317436010344`16."	"2.07307990127241692943733164562004088146219840798715042941966469`38.*^-15"	1.057046958446631e-15
"0.03712899306728007636779764766288280953`16."	"2.41156025355293140475894120963098374934396986904667509344779436`38.*^-15"	1.22908606733234e-15
"0.03777492147364389096786396748939296231`16."	"2.79770020691522786292222634765519630612190607834644636502270312`38.*^-15"	1.4252162804099176e-15
"0.03842084988000770556793028731590311509`16."	"3.2371682898806429081632524412039570443138940480263173950139064`38.*^-15"	1.6482754575564153e-15
"0.03906677828637151322910270323518489022`16."	"3.7361887002247444736048337013360324569869886662246719861358752`38.*^-15"	1.901373401253982e-15
"0.039712706692735327829169023061695043`16."	"4.30157505447330355888978393748205794747172959722568162533604273`38.*^-15"	2.187911902989123e-15
