"alpha"	"CF_Gamma"	"Hydro_Gamma"
"0.01000000000000000020816681711721685133`16."	"Failed"	1.3307337643167312e-30
"0.02390779158354022770893720917229074985`16."	"Failed"	1.0232205376303416e-25
"0.03781558316708045347498412525055755395`16."	"Failed"	3.6556959785442674e-23
"0.05172337475062067924103104132882435806`16."	"3.35116589570874093928523975031306121491263728839944840872`37.*^-21"	1.9718856889822514e-21
"0.06563116633416089806818405349986278452`16."	"3.227992892512989600507300079720787489365882352640004088887`36.*^-20"	4.0038446789048854e-20
"0.07953895791770113077312487348535796627`16."	"3.9581762455895912885737468883268593652164534226617041897692`35.*^-19"	4.467315874662948e-19
"0.09344674950124134960027788565639639273`16."	"4.60713794767836339163939083747518139034105362273403956726262`34.*^-18"	3.3239362891942483e-18
"0.10735454108478158230521870564189157449`16."	"2.485209643354784584908158545244312827554011840011773285453678`33.*^-17"	1.8455193601263017e-17
"0.12126233266832180113237171781293000095`16."	"1.0773384830730746789363381187414155254995947012525765405930804`32.*^-16"	8.209677792025122e-17
"0.13517012425186206159288815342733869329`16."	"3.935170916860373770881943633866743816743465`32.*^-16"	3.0693767102483656e-16
"0.14907791583540228042004116559837711975`16."	"1.2534172938719560024841628499425920129968722`31.*^-15"	9.975503667712063e-16
"0.16298570741894249924719417776941554621`16."	"3.5726516873433090040654170137627079311382407`31.*^-15"	2.8885999104131983e-15
"0.17689349900248271807434718994045397267`16."	"9.2761129469888908105830114377242135924356907`30.*^-15"	7.59226054473351e-15
"0.19080129058602293690150020211149239913`16."	"2.22645169184217825400501957081243953115055548`30.*^-14"	1.8374132468996412e-14
"0.20470908216956318348422882991144433618`16."	"4.99511089915611616343006219136219152268094417`29.*^-14"	4.14087455775126e-14
"0.21861687375310337455580622645356925204`16."	"1.057071600718512193971038182217841447353456477`29.*^-13"	8.768973905261617e-14
"0.23252466533664362113853485425352118909`16."	"2.125368501696315389979852804165909729025233856`29.*^-13"	1.757777192654647e-13
"0.24643245692018383996568786642455961555`16."	"4.084873917895968555377826809623942508313360162`28.*^-13"	3.3555163037199e-13
"0.26034024850372411430399210985342506319`16."	"7.542466870383534396253586222716699054009500855`28.*^-13"	6.130787068401371e-13
"0.27424804008726433313114512202446348965`16."	"1.3436279444482899308215525625410937532814480815`28.*^-12"	1.076627072591441e-12
"0.28815583167080455195829813419550191611`16."	"2.3175859190799227881671223197975442456818361212`28.*^-12"	1.8237105181935876e-12
"0.30206362325434471527429991510871332139`16."	"3.8825935597074744054637267946404032430948898136`27.*^-12"	2.9888783916302e-12
"0.31597141483788498961260415853757876903`16."	"6.334185902214120404682957485819128722001755725`27.*^-12"	4.751752249800409e-12
"0.32987920642142520843975717070861719549`16."	"1.00866205097626166086101992257937486805419032606`27.*^-11"	7.344578931346708e-12
"0.34378699800496542726691018287965562195`16."	"1.57095062353821730977045217676720510995953989769`27.*^-11"	1.1058337775647123e-11
"0.3576947895885056460940631950506940484`16."	"2.3972297631381708683574069561009956879807161156`26.*^-11"	1.624623474240442e-11
"0.37160258117204586492121620722173247486`16."	"3.58977672863959913240831859427900294005383142713`26.*^-11"	2.3323269866443684e-11
"0.38551037275558608374836921939277090132`16."	"5.28247520390845015202443038048689440177888119716`26.*^-11"	3.27605110391986e-11
"0.39941816433912635808667346282163634896`16."	"7.64815027400159057015919321758504580464642983225`26.*^-11"	4.5072780283579035e-11
"0.41332595592266657691382647499267477542`16."	"1.090695824771551069203985464458900884893428957048`25.*^-10"	6.079868803454773e-11
"0.4272337475062067402298282559058861807`16."	"1.533589891602541273994988271603632862863190384296`25.*^-10"	8.047235762884341e-11
"0.44114153908974701456813249933475162834`16."	"2.12794289216769664613239338612880574861851586453`25.*^-10"	1.0458677465218596e-10
"0.4550493306732872333952855115057900548`16."	"2.916117937306968853378584507917199114132047442801`25.*^-10"	1.3354946539981182e-10
"0.46895712225682750773358975493465550244`16."	"3.949665892016936975739629413923136852789192248964`25.*^-10"	1.6763212623900964e-10
"0.48286491384036767104959153584786690772`16."	"5.290688638977374370452328990047267806722420044949`25.*^-10"	2.0691683866090554e-10
"0.49677270542390788987674454801890533417`16."	"7.013273758995049846299788549770982809687763041588`24.*^-10"	2.512425366033416e-10
"0.510680497007448219726200022705597803`16."	"9.204983188417666523637605608400337364394863786421`24.*^-10"	3.001563434595044e-10
"0.52458828859098838304220180361880920827`16."	"1.1968361727065107900586551496262984167597120247252`24.*^-9"	3.5287514693355904e-10
"0.53849608017452865738050604704767465591`16."	"1.5422434593042412344095074445750533515729975843128`24.*^-9"	4.082631988046319e-10
"0.55240387175806882069650782796088606119`16."	"1.9704148850886041610058702171029493644743472156277`24.*^-9"	4.6483147933424933e-10
"0.56631166334160909503481207138975150883`16."	"2.4969704786871523598729971086020271153736688844988`24.*^-9"	5.207639288790977e-10
"0.58021945492514925835081385230296291411`16."	"3.1395720043997958759643293872521098083935726431302`24.*^-9"	5.739743259301743e-10
"0.59412724650868942166681563321617431939`16."	"3.9180157270668392649835836020987115866607606380282`23.*^-9"	6.221955314126527e-10
"0.60803503809222980702742233916069380939`16."	"4.8542931008460846236966845902869040430697510080536`23.*^-9"	6.631000409269981e-10
"0.62194282967576997034342412007390521467`16."	"5.9726110280692672478955561595506873714069964986587`23.*^-9"	6.944473948160493e-10
"0.63585062125931024468172836350277066231`16."	"7.299361308170531375462416935639125432891721899663`23.*^-9"	7.142502018321318e-10
"0.64975841284285040799773014441598206758`16."	"8.8630289326337670528197351973393259525769745657881`23.*^-9"	7.209466661618014e-10
"0.66366620442639057131373192532919347286`16."	"1.06940263263671940277723736260891710164658329139256`23.*^-8"	7.135640223925551e-10
"0.6775739960099308456520361687580589205`16."	"1.28244418637358697361749935400460754336649326532808`23.*^-8"	6.918547420898988e-10
