"alpha"	"CF_Gamma"	"Hydro_Gamma"
"0.05000000000000000277555756156289135106`16."	"2.14071428741179954024897914472325663647001209`20.*^-14"	2.3459416195149335e-14
"0.05302013422818792343083060814024065621`16."	"3.52001406567529193586805529488426804658010613`20.*^-14"	3.864143976509319e-14
"0.05604026845637584408610365471758996136`16."	"5.62405425907063877976255976447580649258137548`20.*^-14"	6.179962184940177e-14
"0.05906040268456376474137670129493926652`16."	"8.75730028273607013765273586994052146063503089`20.*^-14"	9.626040692907085e-14
"0.06208053691275167845775584396506019402`16."	"1.3323235127994102239447058231775200282139663`20.*^-13"	1.4641045483920895e-13
"0.06510067114093960605192279444963787682`16."	"1.984818954286781562229164308990524035571755683`20.*^-13"	2.1793670623021203e-13
"0.06812080536912751282940803321253042668`16."	"2.900881796049360748298685739871968801332859649`20.*^-13"	3.180984308819542e-13
"0.07114093959731543348468107978987973183`16."	"4.166369634150025884857515482077222823459293368`20.*^-13"	4.560317129225152e-13
"0.07416107382550335413995412636722903699`16."	"5.8889277893451099827463650098377549269948251`20.*^-13"	6.430862704690241e-13
"0.07718120805369127479522717294457834214`16."	"8.202050653189725692433825665963031615048448724`20.*^-13"	8.931939086816091e-13
"0.08020134228187919545050021952192764729`16."	"1.1269634481718450619526987405734566816821048999`20.*^-12"	1.2232672732562663e-12
"0.08322147651006711610577326609927695245`16."	"1.5291052624955938952803771348378616581599657034`20.*^-12"	1.6536269150561785e-12
"0.0862416107382550367610463126766262576`16."	"2.0506770176197451789011619006341803106871071069`20.*^-12"	2.2084540053578805e-12
"0.08926174496644295741631935925397556275`16."	"2.7204528339026550310997155082016343469130692826`20.*^-12"	2.916265364783984e-12
"0.0922818791946308780715924058313248679`16."	"3.5726116101322137105630060654045483679893314567`20.*^-12"	3.810406797238175e-12
"0.09530201342281879872686545240867417306`16."	"4.6474750425041830831052186694198115486688837361`20.*^-12"	4.929560062860931e-12
"0.09832214765100671938213849898602347821`16."	"5.992308233850226446893952851101911981305518625`20.*^-12"	6.3182581908401524e-12
"0.10134228187919464003741154556337278336`16."	"7.6621843218604305806214612235449237735309777995`20.*^-12"	8.02740323320352e-12
"0.10436241610738256069268459214072208852`16."	"9.7209148688974529088375012946167299541987317432`20.*^-12"	1.0114780003428132e-11
"0.10738255033557048134795763871807139367`16."	"1.22420463957757761016107355404058023390088648701`20.*^-11"	1.2645558837207695e-11
"0.11040268456375840200323068529542069882`16."	"1.5309924555355441428875342695872302237216295735`20.*^-11"	1.5692779964705885e-11
"0.11342281879194630878071592405831324868`16."	"1.90208266231607146203656336860490782787618321713`20.*^-11"	1.933781170095813e-11
"0.11644295302013424331377677845011930913`16."	"2.34841612876482906976244047761788478628119762533`20.*^-11"	2.3670774349666514e-11
"0.11946308724832215009126201721301185898`16."	"2.88237374665114261583119422706756755160027578861`20.*^-11"	2.8790921480275623e-11
"0.12248322147651007074653506379036116414`16."	"3.51791004132298737593365931772482603406172325171`20.*^-11"	3.480697008251359e-11
"0.12550335570469800527959591818216722459`16."	"4.27069347342978415182997825574171203561958142542`20.*^-11"	4.1837371028764995e-11
"0.12852348993288592593486896475951652974`16."	"5.15825330553974370601034443311478013479119606147`20.*^-11"	5.001051128347059e-11
"0.1315436241610738188345663957079523243`16."	"6.20013290645624145770766304026457931656447845672`20.*^-11"	5.94648393893559e-11
"0.13456375838926176724541505791421514004`16."	"7.41804906924485625660059458663272412784676664164`20.*^-11"	7.034890593007867e-11
"0.1375838926174496879006881044915644452`16."	"8.8360574621439437373913666207209593334426772183`20.*^-11"	8.28213109133751e-11
"0.14060402684563758080038553544000023976`16."	"1.048072314829330408937767412100912142853779204998`20.*^-10"	9.705055033151252e-11
"0.1436241610738255292112341976462630555`16."	"1.238129677834313388207921628699132154060623107494`20.*^-10"	1.1321475452820573e-10
"0.14664429530201342211093162859469885007`16."	"1.456989460123558516714713696030193478020309912744`20.*^-10"	1.3150131142229064e-10
"0.14966442953020137052178029080096166581`16."	"1.708168275401162562988220141032125061031074692109`20.*^-10"	1.5210636809514118e-10
"0.15268456375838926342147772174939746037`16."	"1.995506446211515363687671327520603900533627308046`20.*^-10"	1.752342047253045e-10
"0.15570469798657718407675076832674676552`16."	"2.323186920287994999034615849447957269111292912962`20.*^-10"	2.0109647533181406e-10
"0.15872483221476510473202381490409607068`16."	"2.695754282098411998484355835068760664090448121748`20.*^-10"	2.2991131024593404e-10
"0.16174496644295302538729686148144537583`16."	"3.118133718228287907147853930294042396418841852796`20.*^-10"	2.619022756458004e-10
"0.16476510067114097379814552368770819157`16."	"3.595649746553310814632640419876233015703251181457`20.*^-10"	2.972971858325032e-10
"0.16778523489932886669784295463614398614`16."	"4.134044534460850711410867986869892880712731038559`20.*^-10"	3.363267641695715e-10
