"alpha"	"CF_Gamma"	"Hydro_Gamma"
"0.01000000000000000020816681711721685133`16."	"""Failed"""	1.2380980181356938e-52
"0.01698996655518394960360240020236233249`16."	"""Failed"""	8.148238803076376e-48
"0.02397993311036789726431450731070071924`16."	"""Failed"""	1.0915176117934785e-44
"0.030969899665551844925026614419039106`16."	"""Failed"""	2.265157295590593e-42
"0.03795986622073579258573872152737749275`16."	"""Failed"""	1.567674464771298e-40
"0.0449498327759197402464508286357158795`16."	"""Failed"""	5.257000992940221e-39
"0.05193979933110368790716293574405426625`16."	"""Failed"""	1.0541431150492766e-37
"0.05892976588628762862898113894516427536`16."	"""Failed"""	1.439802862566244e-36
"0.06591973244147157628969324605350266211`16."	"""Failed"""	1.4601992665221162e-35
"0.07290969899665553088929925706906942651`16."	"""Failed"""	1.167687820710748e-34
"0.07989966555183947161111746027017943561`16."	"""Failed"""	7.690591840041936e-34
"0.08688963210702342621072347128574620001`16."	"""Failed"""	4.309781535218636e-33
"0.09387959866220736693254167448685620911`16."	"""Failed"""	2.1070176411784344e-32
"0.10086956521739130765435987768796621822`16."	"""Failed"""	9.164549892985522e-32
"0.10785953177257524837617808088907622732`16."	"""Failed"""	3.6023289508919887e-31
"0.11484949832775921685357189971909974702`16."	"""Failed"""	1.2959900852837993e-30
"0.12183946488294315757539010292020975612`16."	"""Failed"""	4.3122505331329694e-30
"0.12882943143812711217499611393577652052`16."	"""Failed"""	1.3386529058586758e-29
"0.13581939799331108065238993276580004022`16."	"""Failed"""	3.905458330287353e-29
"0.14280936454849502137420813596691004932`16."	"""Failed"""	1.0774954412302115e-28
"0.14979933110367896209602633916802005842`16."	"""Failed"""	2.826248561552305e-28
"0.15678929765886290281784454236913006753`16."	"""Failed"""	7.080308993746676e-28
"0.16377926421404687129523836119915358722`16."	"""Failed"""	1.7008857604182383e-27
"0.17076923076923081201705656440026359633`16."	"""Failed"""	3.931838521968167e-27
"0.17775919732441475273887476760137360543`16."	"""Failed"""	8.772990028795205e-27
"0.18474916387959869346069297080248361453`16."	"""Failed"""	1.8945688536621426e-26
"0.19173913043478263418251117400359362364`16."	"""Failed"""	3.969463244674115e-26
"0.19872909698996657490432937720470363274`16."	"""Failed"""	8.086246436051779e-26
"0.20571906354515051562614758040581364185`16."	"""Failed"""	1.6047006478255572e-25
"0.21270903010033448410354139923583716154`16."	"""Failed"""	3.1076128713702893e-25
"0.21969899665551845258093521806586068124`16."	"""Failed"""	5.882018085738193e-25
"0.22668896321070239330275342126697069034`16."	"""Failed"""	1.0897052387724562e-24
"0.23367892976588633402457162446808069944`16."	"""Failed"""	1.97849688011615e-24
"0.24066889632107027474638982766919070855`16."	"""Failed"""	3.524651002059254e-24
"0.24765886287625421546820803087030071765`16."	"""Failed"""	6.167627198321122e-24
"0.25464882943143818394560184970032423735`16."	"""Failed"""	1.061131275818317e-23
"0.26163879598662215242299566853034775704`16."	"""Failed"""	1.796644113718238e-23
"0.26862876254180606538923825610254425555`16."	"""Failed"""	2.9961167242382694e-23
"0.27561872909699003386663207493256777525`16."	"""Failed"""	4.924849393064326e-23
"0.28260869565217394683287466250476427376`16."	"""Failed"""	7.984972209865601e-23
