"alpha"	"CF_Gamma"	"Hydro_Gamma"
"0.05000000000000000277555756156289135106`16."	"2.492877270944240166112332021328601408926865498596485589936`37.*^-20"	1.3456709289097477e-21
"0.05771812080536913025508027885734918527`16."	"6.76513982828813257053139195097418625201404122060882059761`37.*^-21"	8.333686248072644e-21
"0.06543624161073825773460299615180701949`16."	"6.922012655028269120206166429512821532689120874576687928271`36.*^-20"	4.0804508207246645e-20
"0.0731543624161073852141257134462648537`16."	"2.5739927386454241952678085531766309539880939443755786096324`35.*^-19"	1.664645310418021e-19
"0.08087248322147651269364843074072268791`16."	"9.4098617691060804870412098708701831746641681642284532674573`35.*^-19"	5.869125891242002e-19
"0.08859060402684564017317114803518052213`16."	"2.50576508182127941489377024826048760368879100748441961279249`34.*^-18"	1.8365390210413964e-18
"0.09630872483221475377490605751518160105`16."	"7.1007711929094156725974613852383668726886545820455232765239`34.*^-18"	5.2028436601722535e-18
"0.10402684563758389513221658262409619056`16."	"1.730118939315298162004723766031185012096671345020462689331126`33.*^-17"	1.354977060873876e-17
"0.11174496644295300873395149210409726948`16."	"4.176587379863990151801531471999393782246897563694060878786572`33.*^-17"	3.283087890866936e-17
"0.11946308724832215009126201721301185898`16."	"9.237287199921751437840764044652606903519416857031252965185254`32.*^-17"	7.472322555338566e-17
"0.1271812080536912636929969266930129379`16."	"1.953759123504262076655600836446603191665354`32.*^-16"	1.6100187117740906e-16
"0.13489932885906041892809525961638428271`16."	"3.944073598819122590234714576650137595902546`32.*^-16"	3.305137460862363e-16
"0.14261744966442951865204236128192860633`16."	"7.619108051639584015135338340236580283495224`31.*^-16"	6.499010751820361e-16
"0.15033557046979864613156507857638644055`16."	"1.4155650053933120343341984570151429594220989`31.*^-15"	1.2295688880386553e-15
"0.15805369127516777361108779587084427476`16."	"2.5468600780926946139957078807751792307972924`31.*^-15"	2.2467853901395984e-15
"0.16577181208053690109061051316530210897`16."	"4.4535973693713329203037673516943455842503846`31.*^-15"	3.978241542199895e-15
"0.17348993288590602857013323045975994319`16."	"7.5668701869685722124554460254615342614339317`30.*^-15"	6.844866474474424e-15
"0.18120805369127518380523156338313128799`16."	"1.25420251408668760696789606968090283095679091`30.*^-14"	1.147218352287633e-14
"0.18892617449664428352917866504867561162`16."	"2.03147689379541390759791768695401205772844995`30.*^-14"	1.87699786312256e-14
"0.19664429530201343876427699797204695642`16."	"3.21969587998759291279669012372204633622909265`30.*^-14"	3.003551543189324e-14
"0.20436241610738253848822409963759128004`16."	"5.00772428886508646464763714581766001957806092`29.*^-14"	4.708494254543685e-14
"0.21208053691275163821217120130313560367`16."	"7.6482502963912531293747272658923206752853994`29.*^-14"	7.241786835311454e-14
"0.21979865771812079344726953422650694847`16."	"1.148684260685232703804685816035006630525625169`29.*^-13"	1.0942029402285331e-13
"0.22751677852348994868236786714987829328`16."	"1.698531611566076105189586783433716398771266419`29.*^-13"	1.6261116265221995e-13
"0.2352348993288590484063149688154226169`16."	"2.475125924004503221650358487007606713767322239`29.*^-13"	2.3793766626386254e-13
"0.2429530201342282036414133017387939617`16."	"3.558560415582325315801207992315089743085483378`28.*^-13"	3.4312411899019293e-13
"0.25067114093959730336536040340433828533`16."	"5.051771870846126459458631844629749974186797223`28.*^-13"	4.880786220960047e-13
"0.25838926174496640308930750506988260895`16."	"7.086895412975605386868945193492194717317478385`28.*^-13"	6.853608859482709e-13
"0.26610738255033555832440583799325395375`16."	"9.829908764122361215396386922202338868815823143`28.*^-13"	9.507134120085534e-13
"0.27382550335570465804835293965879827738`16."	"1.3492707106398646729300393390807528034903623827`28.*^-12"	1.3036567571410232e-12
"0.28154362416107381328345127258216962218`16."	"1.833643938677327870654207401891196156664588983`28.*^-12"	1.7681477935661812e-12
"0.28926174496644296851854960550554096699`16."	"2.4685654575689999213862254793113542301071500733`28.*^-12"	2.3732977403925087e-12
"0.29697986577181206824249670717108529061`16."	"3.2938384603114776169099557525805695348383825727`27.*^-12"	3.154144286979838e-12
"0.30469798657718116796644380883662961423`16."	"4.3580248795842537924243825850620668381294281773`27.*^-12"	4.152469376054113e-12
"0.31241610738255032320154214176000095904`16."	"5.7200011203212890472279347597902051223445675371`27.*^-12"	5.417651199449852e-12
"0.32013422818791942292548924342554528266`16."	"7.4505518927824859432996554619676900598936357468`27.*^-12"	7.007535728469489e-12
"0.32785234899328857816058757634891662747`16."	"9.6344240026646771942140906423716277312402654476`27.*^-12"	8.989309714205221e-12
"0.33557046979865767788453467801446095109`16."	"1.2372564275254132578633972178685943131257107054`27.*^-11"	1.1440353624057628e-11
"0.34328859060402683311963301093783229589`16."	"1.57842407718422769922979540296334976590741575015`27.*^-11"	1.444904951521642e-11
"0.35100671140939593284358011260337661952`16."	"2.00100613388567561791771213140567120820600740379`26.*^-11"	1.8115515482210586e-11
"0.35872483221476508807867844552674796432`16."	"2.52146191096880259710686641344656894953496116285`26.*^-11"	2.2552235162859484e-11
"0.36644295302013418780262554719229228795`16."	"3.15899466408030119170599047632822597906459871161`26.*^-11"	2.7884547963457303e-11
"0.37416107382550328752657264885783661157`16."	"3.93587154534135856171465830360979514611720412643`26.*^-11"	3.425096329554942e-11
"0.38187919463087249827282221303903497756`16."	"4.87784180552853046495702674571630809401216347615`26.*^-11"	4.180326033389932e-11
"0.38959731543624159799676931470457930118`16."	"6.0144959437446304483168371925909204599151224085`26.*^-11"	5.070633374106777e-11
