"alpha"	"CF_Gamma"	"Hydro_Gamma"
"0.01000000000000000020816681711721685133`16."	"4.210726584795826175996550944367836305263535983324403096745`40.*^-20"	1.9249571919337162e-20
"0.0116387959866220743604392495740285085`16."	"1.520422947969351942684818918389388272156156788638897256164`40.*^-19"	7.457893395126846e-20
"0.01327759197324414677798820605403307127`16."	"4.719831345977733475017447694087051735230280681559547203816`39.*^-19"	2.41280006180474e-19
"0.01491638795986622093026063851084472844`16."	"1.29743110379181241869052750970550576816669351611288243394428`39.*^-18"	6.798378945178656e-19
"0.01655518394648829508253307096765638562`16."	"3.22345878107055945183997998593768113259435540690571448543586`39.*^-18"	1.7171341483689655e-18
"0.01819397993311036576535855147085385397`16."	"7.36013488376412628686485734978113774735455398253048376939409`38.*^-18"	3.969118951837699e-18
"0.01983277591973243991763098392766551115`16."	"1.564940117206987599128088630577569684019339343409257329315156`38.*^-17"	8.525571225228702e-18
"0.02147157190635451406990341638447716832`16."	"3.133751546601937855513408925252572814677153953445230664678716`38.*^-17"	1.7216871264419908e-17
"0.0231103678929765882221758488412888255`16."	"5.958531883445849024642210849201996390375714261073430446567407`37.*^-17"	3.298598805005531e-17
"0.02474916387959866237444828129810048267`16."	"1.0833215355565525203025567954530675766226136412583099307185581`37.*^-16"	6.039220020890426e-17
"0.02638795986622073652672071375491213985`16."	"1.8940248208420481524569585578455979614036530911316418229682696`37.*^-16"	1.0627638443119776e-16
"0.02802675585284281067899314621172379702`16."	"3.1991248072707711870631381636022995973756036998307116269112053`36.*^-16"	1.8062097900040468e-16
"0.0296655518394648848312655786685354542`16."	"5.2405546099970882180983813460222135081710394756791340521216615`36.*^-16"	2.976409264264648e-16
"0.03130434782608695898353801112534711137`16."	"8.3534280411189134237116310440940846316764197236818695115251313`36.*^-16"	4.77144983786699e-16
"0.0329431438127090261969165396749303909`16."	"1.2992206583079492329829854283678866725732475483648847803339115`36.*^-15"	7.462097303686505e-16
"0.03458193979933110728808287603897042572`16."	"1.97638957261076306691409756386339978632858373978400104446890901`36.*^-15"	1.1412113699308984e-15
"0.03622073578595317450146140458855370525`16."	"2.94662872678766982761748100082008052659510657583165455131614103`35.*^-15"	1.7102629919182993e-15
"0.03785953177257524865373383704536536243`16."	"4.31326010022569447440825556412988521528019137445287748176432953`35.*^-15"	2.516107297021462e-15
"0.0394983277591973228060062695021770196`16."	"6.20874972608134449684114997245491951397099604035161457097823287`35.*^-15"	3.6395168844126664e-15
"0.04113712374581939695827870195898867678`16."	"8.80043789921763723792784474140310295262940634354374459158947193`35.*^-15"	5.183256019756367e-15
