"alpha"	"CF_Gamma"	"Hydro_Gamma"
"0.01"	"Failed"	1.9535425969450454e-20
"0.01342281879194631"	"Failed"	2.7031402158644356e-19
"0.01684563758389262"	"Failed"	2.0419446912146342e-18
"0.02026845637583893"	"Failed"	1.05524559622028e-17
"0.02369127516778523"	"Failed"	4.2024414164498165e-17
"0.02711409395973154"	"Failed"	1.383969380042513e-16
"0.03053691275167785"	"Failed"	3.943548422751043e-16
"0.03395973154362416"	"Failed"	1.0026609507973384e-15
"0.03738255033557047"	"Failed"	2.3250609697433325e-15
"0.04080536912751678"	"Failed"	4.997238549890715e-15
"0.04422818791946309"	"Failed"	1.0077384585130591e-14
"0.0476510067114094"	"Failed"	1.9248868945871686e-14
"0.05107382550335571"	"Failed"	3.508823029969479e-14
"0.05449664429530202"	"Failed"	6.141020177839919e-14
"0.05791946308724832"	"Failed"	1.0370174390337143e-13
"0.06134228187919463"	"Failed"	1.6965704357609663e-13
"0.06476510067114094"	"Failed"	2.6982514633734315e-13
"0.06818791946308725"	"Failed"	4.1838131058045573e-13
"0.07161073825503356"	"Failed"	6.340323036380035e-13
"0.07503355704697987"	"Failed"	9.41064701656217e-13
"0.07845637583892617"	"Failed"	1.370543813039596e-12
"0.08187919463087248"	"Failed"	1.96166912796113e-12
"0.08530201342281879"	"Failed"	2.763290216583974e-12
"0.0887248322147651"	"Failed"	3.835584772199155e-12
"0.09214765100671141"	"Failed"	5.251898041559659e-12
"0.09557046979865771"	"1.5704699965406289302e-12"	7.100740225289465e-12
"0.09899328859060402"	"4.6035835332873121735e-12"	9.487935591028052e-12
"0.1024161073825503"	"8.574712052136091599e-12"	1.2538914048013175e-11
"0.1058389261744966"	"1.3682621628619411241e-11"	1.6401132813358777e-11
"0.1092617449664429"	"2.0159902070497767696e-11"	2.1246612588537203e-11
"0.1126845637583893"	"2.827698825752032579e-11"	2.727456939240734e-11
"0.1161073825503356"	"3.8346727584010839366e-11"	3.4714119898880694e-11
"0.1195302013422819"	"4.7524120919048869899e-11"	4.3827034838541925e-11
"0.1229530201342282"	"6.3066783361526794118e-11"	5.4910511780773995e-11
"0.1263758389261745"	"8.1735517836437877963e-11"	6.82999354534583e-11
"0.1297986577181208"	"1.0407627303027180305e-10"	8.437159071891167e-11
"0.1332214765100671"	"1.3070045579802967031e-10"	1.0354529044543814e-10
"0.1366442953020134"	"1.6228863771191246081e-10"	1.262868778317952e-10
"0.1400671140939597"	"1.9961005634148522618e-10"	1.5311056029491198e-10
"0.1434899328859061"	"2.4350863952771154595e-10"	1.8458102985677157e-10
"0.1469127516778524"	"2.9492873247433632615e-10"	2.213153231013157e-10
"0.1503355704697987"	"3.5491203679743218562e-10"	2.639843722524074e-10
"0.153758389261745"	"4.2460404394581011704e-10"	3.133141977840955e-10
"0.1571812080536913"	"5.0526700650198948459e-10"	3.7008669224806215e-10
"0.1606040268456376"	"5.9828010076198255513e-10"	4.351399447220528e-10
"0.1640268456375839"	"7.051486024724343231e-10"	5.093680554773097e-10
"0.1674496644295302"	"8.2751424188178701119e-10"	5.937203911605495e-10
"0.1708724832214765"	"9.6715490866843043888e-10"	6.892002320125988e-10
"0.1742953020134228"	"1.125999914001039659e-9"	7.968627644246934e-10
"0.1777181208053691"	"1.3061269446446264616e-9"	9.178123744852032e-10
"0.1811409395973154"	"1.5097732551469884407e-9"	1.0531992011118724e-9
"0.1845637583892618"	"1.739346469901228673e-9"	1.2042149109120395e-9
"0.1879865771812081"	"1.9974204440255753622e-9"	1.3720876610769332e-9
"0.1914093959731544"	"2.2867490837242517923e-9"	1.5580762214036363e-9
"0.1948322147651007"	"2.6102610923727443114e-9"	1.7634632319535344e-9
"0.198255033557047"	"2.9710819763104615642e-9"	1.9895475788988754e-9
"0.2016778523489933"	"3.3725196798978301326e-9"	2.2376358777751406e-9
"0.2051006711409396"	"3.8180824117621476081e-9"	2.5090330606376483e-9
"0.2085234899328859"	"4.3114694067438848673e-9"	2.805032071502656e-9
"0.2119463087248322"	"4.856589503560702716e-9"	3.1269026829184574e-9
"0.2153691275167785"	"5.4575397995319102584e-9"	3.475879455537138e-9
"0.2187919463087249"	"6.1186329730400609275e-9"	3.85314887211471e-9
"0.2222147651006711"	"6.8443780578497998204e-9"	4.259835687422589e-9
"0.2256375838926175"	"7.6394896812354594895e-9"	4.696988546067593e-9
"0.2290604026845638"	"8.5088823768106107241e-9"	5.16556493114563e-9
"0.2324832214765101"	"9.4576682072125649677e-9"	5.6664155179456215e-9
"0.2359060402684564"	"1.0491154474312925897e-8"	6.200268018517098e-9
"0.2393288590604027"	"1.1614838288768964361e-8"	6.767710614754769e-9
"0.242751677852349"	"1.2834404385378354293e-8"	7.36917508966569e-9
"0.2461744966442953"	"1.4155698007486951458e-8"	8.004919778593268e-9
"0.2495973154362416"	"1.5584748000580909375e-8"	8.675012474293808e-9
"0.2530201342281879"	"1.7127738569426503644e-8"	9.379313431805157e-9
"0.2564429530201343"	"1.879098182503829043e-8"	1.0117458630915845e-8
"0.2598657718120805"	"2.0580942717405539381e-8"	1.0888843465631948e-8
"0.2632885906040269"	"7.6702893435028503006e-9"	1.16926070412356e-8
"0.2667114093959732"	"9.5154047559562684657e-9"	1.2527617270212968e-8
"0.2701342281879195"	"1.1520841037864224546e-8"	1.3392456968374182e-8
"0.2735570469798658"	"1.3694078830531190255e-8"	1.428541116175538e-8
"0.2769798657718121"	"1.6042629777064802853e-8"	1.520445582324171e-8
"0.2804026845637584"	"1.857399788725547944e-8"	1.6147248265127025e-8
"0.2838255033557047"	"2.1295610985646579157e-8"	1.7111119419869628e-8
"0.287248322147651"	"2.4214823540640422452e-8"	1.8093068245946856e-8
"0.2906711409395973"	"2.7338864482537937741e-8"	1.9089758498775278e-8
"0.2940939597315436"	"3.0674808312392141306e-8"	2.009751810796125e-8
"0.29751677852349"	"3.422951581115049966e-8"	2.11123414014851e-8
"0.3009395973154362"	"3.8009593984973481544e-8"	2.2129894414594195e-8
"0.3043624161073826"	"4.202135850720212149e-8"	2.3145523515975107e-8
"0.3077852348993289"	"4.6270775412617289924e-8"	2.415426757596718e-8
"0.3112080536912752"	"5.0763392986548478788e-8"	2.5150873890939734e-8
"0.3146308724832215"	"5.5504308364647677686e-8"	2.6129818064239923e-8
"0.3180536912751678"	"6.0498079763249292897e-8"	2.7085328027075897e-8
"0.3214765100671141"	"6.5748687785946692858e-8"	2.8011412362072532e-8
"0.3248993288590604"	"7.1259436602879892288e-8"	2.8901893067750607e-8
"0.3283221476510067"	"7.7032897022342787324e-8"	2.9750442873557172e-8
"0.331744966442953"	"8.3070830037427932644e-8"	3.0550627182022964e-8
"0.3351677852348993"	"8.9374097158006648393e-8"	3.12959506768433e-8
"0.3385906040268457"	"9.5942593017726187928e-8"	3.1979908592859783e-8
"0.3420134228187919"	"1.0277512016941441696e-7"	3.2596042595742726e-8
"0.3454362416107383"	"1.0986932643819885477e-7"	3.3138001165305764e-8
"0.3488590604026846"	"1.1722159201656938356e-7"	3.359960431648606e-8
"0.3522818791946309"	"1.2482693446749278123e-7"	3.397491242574193e-8
"0.3557046979865772"	"1.3267888837566190862e-7"	3.4258298857594e-8
"0.3591275167785235"	"1.4076940103623320381e-7"	3.44445260058962e-8
"0.3625503355704698"	"1.4908870351554075865e-7"	3.4528824276781185e-8
"0.3659731543624161"	"1.576252233249307581e-7"	3.450697344469434e-8
"0.3693959731543624"	"1.6636540331829785332e-7"	3.437538570910181e-8
"0.3728187919463087"	"1.7529362424095973175e-7"	3.4131189666922807e-8
"0.376241610738255"	"1.8439203648611512095e-7"	3.3772314294063906e-8
"0.3796644295302014"	"1.9364037694248799567e-7"	3.329757189819234e-8
"0.3830872483221477"	"2.0301604781390767132e-7"	3.270673886362988e-8
"0.386510067114094"	"2.1249364819553786498e-7"	3.200063285751911e-8
"0.3899328859060403"	"2.2204503719580206433e-7"	3.118118500374625e-8
"0.3933557046979866"	"2.3163913411745104127e-7"	3.025150535702101e-8
"0.3967785234899329"	"2.4124176880422995921e-7"	2.921593982352255e-8
"0.4002013422818792"	"2.5081553295312560573e-7"	2.808011647612761e-8
"0.4036241610738255"	"2.603196327644361583e-7"	2.6850979000927905e-8
"0.4070469798657718"	"2.6970974536411490593e-7"	2.553680478700503e-8
"0.4104697986577181"	"2.7893788097879483592e-7"	2.4147204932723866e-8
"0.4138926174496644"	"2.8795225313487383693e-7"	2.2693103188597692e-8
"0.4173154362416107"	"2.9669716006515672904e-7"	2.1186690588513066e-8
"0.4207382550335571"	"3.051128816913397041e-7"	1.9641352237218892e-8
"0.4241610738255034"	"3.1313559566741612622e-7"	1.807156242191473e-8
"0.4275838926174497"	"3.2069731964202903891e-7"	1.6492743898928474e-8
"0.431006711409396"	"3.2772588505682999844e-7"	1.492108687227051e-8
"0.4344295302013423"	"3.3414495172006523992e-7"	1.3373322828678786e-8
"0.4378523489932886"	"3.3987407156760685945e-7"	1.1866448023021837e-8
"0.4412751677852349"	"3.4482881165027637578e-7"	1.041739101797934e-8
"0.4446979865771812"	"3.4892094480164118022e-7"	9.042618272140245e-9
"0.4481208053691275"	"3.5205870647570642739e-7"	7.757671340408261e-9
"0.4515436241610739"	"3.5414709636071935981e-7"	6.5766287992282015e-9
"0.4549664429530201"	"3.5508814058713583157e-7"	5.511485535989314e-9
"0.4583892617449664"	"3.5478088582780873025e-7"	4.571441546347116e-9
"0.4618120805369128"	"3.5312055384655895835e-7"	3.762091864461103e-9
"0.4652348993288591"	"3.4999549487780851765e-7"	3.0845087085787862e-9
"0.4686577181208054"	"3.4527880092229357799e-7"	2.5342063573122387e-9
"0.4720805369127517"	"3.3880750299013653714e-7"	2.0999786796469208e-9
"0.475503355704698"	"3.3033372345515185429e-7"	1.762598623476805e-9
"0.4789261744966443"	"3.1941395774331567893e-7"	1.4933683225554568e-9
"0.4823489932885906"	"3.0516482637770559859e-7"	1.2525078094562032e-9
"0.4857718120805369"	"2.8573713703589790186e-7"	9.873696217084793e-10
"0.4891946308724832"	"2.5721043830702153476e-7"	6.304658589740312e-10
"0.4926174496644296"	"2.1132927352184596377e-7"	9.729349019191436e-11
"0.4960402684563758"	"1.3100177436259310234e-7"	-7.160570797071087e-10
"0.4994630872483221"	"Failed"	-1.935525994407713e-9
"0.5028859060402685"	"Failed"	-3.711957145459833e-9
"0.5063087248322148"	"Failed"	-6.224238134645755e-9
"0.5097315436241611"	"Failed"	-9.682725466604571e-9
"0.5131543624161075"	"Failed"	-1.4332974391827184e-8
"0.5165771812080537"	"Failed"	-2.045979380822044e-8
"0.52"	"Failed"	-2.8391647653442353e-8
