"alpha"	"CF_Gamma"	"Hydro_Gamma"
"0.05000000000000000277555756156289135106`16."	"4.46053844733135317565346879341665857811033497`20.*^-14"	2.8053142427750382e-14
"0.0522613065326633166596259627567633288`16."	"6.1185100990670042854146956254564305925596878`20.*^-14"	4.104950589472616e-14
"0.05452261306532663748258826785786368418`16."	"7.898032096084493906155842323129621112195649`20.*^-14"	5.905632393733708e-14
"0.05678391959798995136665666905173566192`16."	"1.048584044843963603596748004347598655512993429`20.*^-13"	8.364730654378329e-14
"0.05904522613065327218961897415283601731`16."	"1.381831775851973803759071836842978914702133815`20.*^-13"	1.1678573640635776e-13
"0.06130653266331658607368737534670799505`16."	"1.808446629000690708163466350134195476451615508`20.*^-13"	1.6089622356901366e-13
"0.06356783919597989995775577654057997279`16."	"2.351383993600526872254179596812314005238236723`20.*^-13"	2.1894513950107823e-13
"0.06582914572864322078071808164168032818`16."	"3.038332076755358261796279736307007785990844737`20.*^-13"	2.9453015512970594e-13
"0.06809045226130652772589257892832392827`16."	"3.902459296882560694109124922621467193682797238`20.*^-13"	3.919792619454015e-13
"0.07035175879396984854885488402942428365`16."	"4.983240701464923935454525049793879387407048325`20.*^-13"	5.164596033433809e-13
"0.07261306532663316937181718913052463904`16."	"6.327374258106209593113046829946196274459384126`20.*^-13"	6.74096385071793e-13
"0.07487437185929649019477949423162499443`16."	"9.900649912661163070974860316521119878559162121`20.*^-13"	8.721020692619642e-13
"0.07713567839195979713995399151826859452`16."	"1.1727016565419226231840799725873175356298867882`20.*^-12"	1.1189159862924295e-12
"0.07939698492462311796291629661936894991`16."	"1.4041612823282662538205529721219331189846173309`20.*^-12"	1.42435442300288e-12
"0.08165829145728643878587860172046930529`16."	"1.6925686458009788725802939091797756012150405956`20.*^-12"	1.7997711648776963e-12
"0.08391959798994974573105309900711290538`16."	"2.0474518944620211028154987668910249835987096246`20.*^-12"	2.2582283841473918e-12
"0.08618090452261306655401540410821326077`16."	"2.4798874543026636425594205478249262535540864313`20.*^-12"	2.8146776757276452e-12
"0.08844221105527638737697770920931361616`16."	"3.0025996875342507627602671988035035157422441166`20.*^-12"	3.4861509489773743e-12
"0.09070351758793970819994001431041397154`16."	"3.6301865477180315960332693881373659022885692261`20.*^-12"	4.2919607858850844e-12
"0.09296482412060301514511451159705757163`16."	"4.3792016313399093523127475866177658667181749945`20.*^-12"	5.253909775987042e-12
"0.09522613065326633596807681669815792702`16."	"5.268408218779627307343749457457068889085350184`20.*^-12"	6.3965082356065565e-12
"0.09748743718592964291325131398480152711`16."	"6.318944357890825397225514661717504903008756867`20.*^-12"	7.747199614425858e-12
"0.0997487437185929637362136190859018825`16."	"7.5545026598546537512463125567242518191580129973`20.*^-12"	9.336592786526279e-12
"0.10201005025125628455917592418700223789`16."	"9.0015860683563190984200431810669157309085103806`20.*^-12"	1.119870031643923e-11
"0.10427135678391960538213822928810259327`16."	"1.06897265836986499013717455267173746244665263683`20.*^-11"	1.3371181684037865e-11
"0.10653266331658291232731272657474619336`16."	"1.2651714080687650505647940089760040434599372318`20.*^-11"	1.589559034587506e-11
"0.10879396984924624702806283949030330405`16."	"1.49238712724243866070622007434627353371588000197`20.*^-11"	1.8817623405458385e-11
"0.11105527638190955397323733677694690414`16."	"1.75462834588492000886148182094773295689555744212`20.*^-11"	2.2187372561574367e-11
"0.11331658291457287479619964187804725952`16."	"2.05631212597248931055444499414457701683594049886`20.*^-11"	2.60595749027687e-11
"0.11557788944723618174137413916469085962`16."	"2.40228663682090588837109997795301450528841286953`20.*^-11"	3.049386201809131e-11
"0.117839195979899502564336444265791215`16."	"2.79786626942854783686392513255747982175393344454`20.*^-11"	3.555500579987187e-11
"0.12010050251256282338729874936689157039`16."	"3.24886095025422898234638363077389834218871062874`20.*^-11"	4.1313159224235854e-11
"0.12236180904522613033247324665353517048`16."	"3.76160420631796900201694426735176316116641350012`20.*^-11"	4.784409030994954e-11
"0.12462311557788945115543555175463552587`16."	"4.34299271662685612223986196721191066266082768159`20.*^-11"	5.522940737662234e-11
