"alpha"	"CF_Gamma"	"Hydro_Gamma"
"0.01000000000000000020816681711721685133`16."	"Failed"	2.2330925539904142e-41
"0.02805369127516778998687740909190324601`16."	"Failed"	8.433229082426755e-34
"0.04610738255033557803086452508978254627`16."	"Failed"	3.5893801835031264e-30
"0.06416107382550335913595773718043346889`16."	"Failed"	9.011251806039359e-28
"0.08221476510067114717994485317831276916`16."	"Failed"	5.559497297019591e-26
"0.10026845637583893522393196917619206943`16."	"Failed"	1.4786472158356081e-24
"0.1183221476510067093901312773596146144`16."	"Failed"	2.2429686940524854e-23
"0.13637583892617452518969400898640742525`16."	"Failed"	2.276662322115296e-22
"0.15442953020134231323368112498428672552`16."	"Failed"	1.708664343427185e-21
"0.17248322147651010127766824098216602579`16."	"Failed"	1.0134834281376534e-20
"0.19053691275167788932165535698004532605`16."	"Failed"	4.9776975549304044e-20
"0.20859060402684567736564247297792462632`16."	"Failed"	2.0942269538166426e-19
"0.226644295302013437654053973346890416`16."	"Failed"	7.741988859029993e-19
"0.24469798657718125345361670497368322685`16."	"Failed"	2.564571812213097e-18
"0.26275167785234904149760382097156252712`16."	"Failed"	7.730148614473788e-18
"0.2808053691275168017860153213405283168`16."	"Failed"	2.1464010927520013e-17
"0.29885906040268461758557805296732112765`16."	"Failed"	5.5452265844890305e-17
"0.31691275167785243338514078459411393851`16."	"1.1182844104762225182965369251684056605670519003615293839486125`35.*^-16"	1.34394016692896e-16
"0.33496644295302019367355228496307972819`16."	"Failed"	3.076531555998231e-16
"0.35302013422818800947311501658987253904`16."	"4.4258556206977789513469024917113402309088026803964392413477621`34.*^-16"	6.690512541008722e-16
"0.37107382550335576976152651695883832872`16."	"9.2693088912310462692429328650538644393364449806632239312088618`34.*^-16"	1.388964193383043e-15
"0.38912751677852353004993801732780411839`16."	"1.853714577483979573496330262924213209309248`33.*^-15"	2.7641806925542347e-15
"0.40718120805369134584950074895459692925`16."	"3.5590179545643848635233170839171030471531`33.*^-15"	5.29229448834559e-15
"0.42523489932885910613791224932356271893`16."	"6.610371620104167925080728360781332766526043`33.*^-15"	9.778539518713282e-15
"0.4432885906040268664263237496925285086`16."	"1.1961876229835804165318830541371363599404951`33.*^-14"	1.7483673211073843e-14
"0.46134228187919473773703771257714834064`16."	"2.10927689301835568653144928302283066623676468`32.*^-14"	3.0321437982920717e-14
"0.47939597315436249802544921294611413032`16."	"3.61484829365243603972889781530995531058236845`32.*^-14"	5.111291508088688e-14
"0.49744966442953025831386071331507991999`16."	"6.06914455306877134612875676250285441870001188`32.*^-14"	8.390235219470245e-14
