"alpha"	"CF_Gamma"	"Hydro_Gamma"
"1.06187290969899672532505974231753498316`16."	"""Failed"""	1.056765574609555e-16
"1.06889632107023402340928441844880580902`16."	"""Failed"""	1.1647339722886116e-16
"1.07591973244147154353811401961138471961`16."	"2.719792518026990593436319367361907481028928`21.*^-16"	1.2818347617622142e-16
"1.0829431438127090636669436207739636302`16."	"3.789717037842212407481856926771106698315592`21.*^-16"	1.408635581031067e-16
"1.08996655518394636175116829690523445606`16."	"4.359072473523417791895567785042427259905076`21.*^-16"	1.5457188714336155e-16
"1.09698996655518388187999789806781336665`16."	"4.654270629960061813646702683829908786059599`22.*^-16"	1.6936801550272835e-16
"1.10401337792642140200882749923039227724`16."	"5.43682184476098664339694039415851011310182`22.*^-16"	1.8531260638101959e-16
"1.1110367892976587000930521753616631031`16."	"6.074756820355733467415074474779073180823881`22.*^-16"	2.0246721126912472e-16
"1.11806020066889644226648670155555009842`16."	"6.740101888726337395991597487902036753779576`22.*^-16"	2.2089402095824967e-16
"1.12508361204013374035071137768682092428`16."	"7.668646031105322303229103793356508386811987`22.*^-16"	2.406555897650831e-16
"1.13210702341137126047954097884939983487`16."	"8.604551236660044704513475466679440450588629`22.*^-16"	2.618145326627027e-16
"1.13913043478260878060837058001197874546`16."	"9.161203400395823740997707964511926026009388`22.*^-16"	2.8443319521262817e-16
"1.14615384615384607869259525614324957132`16."	"1.0964021150307539053055468697979846623111484`22.*^-15"	3.0857329641834445e-16
"1.15317725752508382086602978233713656664`16."	"1.2395157943546605811029919909161369044320713`22.*^-15"	3.342955448639537e-16
"1.1602006688963211189502544584684073925`16."	"1.3329934635070203533958334499279581765410658`22.*^-15"	3.616592287626344e-16
"1.16722408026755841703447913459967821836`16."	"1.524139506847505074509746621913923118826246`22.*^-15"	3.9072178081706977e-16
"1.17424749163879615920791366079356521368`16."	"1.7477792222872342186730012428340652111698728`22.*^-15"	4.2153831908635234e-16
"1.18127090301003345729213833692483603954`16."	"1.9474384790087129565298882673415656629919952`22.*^-15"	4.541611653594983e-16
"1.18829431438127097742096793808741495013`16."	"2.1027059135930503968809640734099265470567766`22.*^-15"	4.886393428524607e-16
"1.19531772575250849754979753924999386072`16."	"2.3303580075635847134122442979281686889250784`22.*^-15"	5.250180553709142e-16
"1.20234113712374579563402221538126468658`16."	"2.6754459720502782287540014843704038451450832`23.*^-15"	5.633381504127998e-16
"1.20936454849498331576285181654384359717`16."	"2.9629968121811772972727811816625744920147132`23.*^-15"	6.036355690192576e-16
"1.21638795986622083589168141770642250776`16."	"3.3080022286831839079394438381175152294479504`23.*^-15"	6.459407855173043e-16
"1.22341137123745813397590609383769333363`16."	"3.6484901020989140091508605393524055355081938`23.*^-15"	6.90278240628759e-16
"1.23043478260869565410473569500027224422`16."	"4.1190061243693574592606408179382429739812126`23.*^-15"	7.36665771743777e-16
"1.2374581939799331742335652961628511548`16."	"4.5735882092280954805596641476583657540287317`23.*^-15"	7.851140444699781e-16
"1.24448160535117047231778997229412198067`16."	"5.0631032172270425073599300530924608976340311`23.*^-15"	8.356259898655333e-16
"1.25150501672240799244661957345670089126`16."	"5.6754185938830789567488263852985413972146583`23.*^-15"	8.881962520422418e-16
"1.25852842809364551257544917461927980185`16."	"5.2007102658689865770273750500728485109420286`23.*^-15"	9.428106510783154e-16
"1.26555183946488281065967385075055062771`16."	"3.0112779115924659438154783551234070894242029`23.*^-15"	9.994456664058455e-16
"1.2725752508361203307885034519131295383`16."	"8.5447742930395123465285020218921771704576313`23.*^-15"	1.05806794603017e-15
"1.27959866220735785091733305307570844889`16."	"5.1139872246682495226343534301662262090761641`23.*^-15"	1.1186338470931697e-15
