"alpha"	"CF_Gamma"	"Hydro_Gamma"
"0.01000000000000000020816681711721685133`16."	"""Failed"""	1.3039877806661543e-52
"0.01843260188087774559262399520775943529`16."	"""Failed"""	4.734177472874961e-47
"0.02686520376175548924235769732149492484`16."	"""Failed"""	1.2402013920585229e-43
"0.03529780564263323289209139943523041438`16."	"""Failed"""	3.678726543892967e-41
"0.04373040752351097654182510154896590393`16."	"""Failed"""	3.175904372144905e-39
"0.05216300940438872019155880366270139348`16."	"""Failed"""	1.2369931074562943e-37
"0.06059561128526647078018640968366526067`16."	"""Failed"""	2.7623259448119714e-36
"0.06902821316614421442992011179740075022`16."	"""Failed"""	4.0902265323754085e-35
"0.07746081504702194420186600609667948447`16."	"""Failed"""	4.4157832792883595e-34
"0.08589341692789970172938751602487172931`16."	"""Failed"""	3.710702235462978e-33
"0.09432601880877743150133341032415046357`16."	"""Failed"""	2.5438501497588734e-32
"0.10275862068965517515106711243788595311`16."	"""Failed"""	1.47319815920115e-31
"0.11119122257053293267858862236607819796`16."	"""Failed"""	7.401528874531317e-31
"0.11962382445141066245053451666535693221`16."	"""Failed"""	3.293746993897426e-30
"0.12805642633228841997805602659354917705`16."	"""Failed"""	1.319896686937067e-29
"0.13648902821316619138336534433619817719`16."	"""Failed"""	4.8269070788647226e-29
"0.14492163009404390727752343082102015615`16."	"""Failed"""	1.6286643297992002e-28
"0.15335423197492165092725713293475564569`16."	"""Failed"""	5.116519919506463e-28
"0.16178683385579942233256645067740464583`16."	"""Failed"""	1.5080318910391475e-27
"0.17021943573667713822672453716222662479`16."	"""Failed"""	4.1970689135192496e-27
"0.17865203761755488187645823927596211433`16."	"""Failed"""	1.1091257265492907e-26
"0.18708463949843262552619194138969760388`16."	"""Failed"""	2.796286313459086e-26
"0.19551724137931036917592564350343309343`16."	"""Failed"""	6.75370489264407e-26
"0.20394984326018814058123496124608209357`16."	"""Failed"""	1.568296222749514e-25
"0.21238244514106588423096866335981758311`16."	"""Failed"""	3.5124902963328717e-25
"0.22081504702194362788070236547355307266`16."	"""Failed"""	7.6088283211533575e-25
"0.22924764890282134377486045195837505162`16."	"""Failed"""	1.598136681704309e-24
"0.23768025078369908742459415407211054116`16."	"""Failed"""	3.2618534140235696e-24
"0.2461128526645768588299034718147595413`16."	"""Failed"""	6.4823070853845166e-24
"0.25454545454545457472406155829958152026`16."	"""Failed"""	1.2565581044891577e-23
"0.26297805642633237388494649167114403099`16."	"""Failed"""	2.379692328425894e-23
"0.27141065830721006202352896252705249935`16."	"""Failed"""	4.409360294736208e-23
"0.2798432601880878056732626646407879889`16."	"""Failed"""	8.004240323038005e-23
"0.28827586206896554932299636675452347845`16."	"""Failed"""	1.425202093246232e-22
"0.296708463949843292972730068868258968`16."	"""Failed"""	2.4918469032817197e-22
"0.30514106583072103662246377098199445754`16."	"""Failed"""	4.282441221206707e-22
"0.31357366771159883578334870435355696827`16."	"""Failed"""	7.24081378330108e-22
"0.32200626959247652392193117520946543664`16."	"""Failed"""	1.2055299637708803e-21
"0.33043887147335426757166487732320092618`16."	"""Failed"""	1.977895526051469e-21
"0.33887147335423201122139857943693641573`16."	"""Failed"""	3.200203730731662e-21
"0.34730407523510975487113228155067190528`16."	"""Failed"""	5.1096576424494314e-21
"0.35573667711598755403201721492223441601`16."	"""Failed"""	8.055931886191996e-21
"0.36416927899686524217059968577814288437`16."	"""Failed"""	1.2548748456072035e-20
"0.3726018808777430413314846191497053951`16."	"""Failed"""	1.932320651571144e-20
"0.38103448275862072947006709000561386347`16."	"""Failed"""	2.9428617387710215e-20
"0.38946708463949847311980079211934935302`16."	"""Failed"""	4.434817285031831e-20
"0.39789968652037627228068572549091186374`16."	"""Failed"""	6.615870172203146e-20
"0.40633228840125396041926819634682033211`16."	"""Failed"""	9.774210339167471e-20
"0.41476489028213175958015312971838284284`16."	"""Failed"""	1.4306284891852495e-19
"0.4231974921630094477187356005742913112`16."	"""Failed"""	2.0752927602771515e-19
"0.43163009404388724687962053394585382193`16."	"""Failed"""	2.9846034225994777e-19
"0.44006269592476499052935423605958931148`16."	"""Failed"""	4.2568411103639235e-19
"0.44849529780564267866793670691549777985`16."	"""Failed"""	6.022995990837484e-19
"0.45692789968652047782882164028706029058`16."	"""Failed"""	8.45639779506154e-19
"0.46536050156739816596740411114296875894`16."	"""Failed"""	1.1784805778307408e-18
"0.47379310344827596512828904451453126967`16."	"""Failed"""	1.630548677013626e-18
"0.48222570532915370877802274662826675922`16."	"""Failed"""	2.2403899104014133e-18
"0.49065830721003139691660521748417522758`16."	"""Failed"""	3.0576700045846777e-18
"0.49909090909090919607749015085573773831`16."	"""Failed"""	4.1459904555874016e-18
"0.5075235109717868287049213904538191855`16."	"""Failed"""	5.586314379468413e-18
"0.51595611285266473888810878634103573859`16."	"""Failed"""	7.481110244260784e-18
"0.52438871473354242702669125719694420695`16."	"""Failed"""	9.959335406280695e-18
"0.53282131661442011516527372805285267532`16."	"""Failed"""	1.3182396247488548e-17
"0.54125391849529791432615866142441518605`16."	"""Failed"""	1.7351237309594702e-17
"0.54968652037617560246474113228032365441`16."	"""Failed"""	2.271472796872777e-17
"0.55811912225705340162562606565188616514`16."	"""Failed"""	2.9579531667031936e-17
"0.56655172413793108976420853650779463351`16."	"""Failed"""	3.83216592374345e-17
"0.57498432601880888892509346987935714424`16."	"""Failed"""	4.939992409210951e-17
"0.5834169278996865770636759407352656126`16."	"""Failed"""	6.337153260238948e-17
"0.59184952978056437622456087410682812333`16."	"""Failed"""	8.091005742630693e-17
"0.6002821316614420643631433449627365917`16."	"""Failed"""	1.0282605432679311e-16
"0.60871473354231986352402827833429910243`16."	"""Failed"""	1.3009059359569447e-16
"0.61714733542319766268491321170586161315`16."	"""Failed"""	1.6386198492464207e-16
"0.62557993730407535082349568256177008152`16."	"""Failed"""	2.0551597875736298e-16
"0.63401253918495303896207815341767854989`16."	"1.54063597962649584690892086270321862314258`25.*^-16"	2.5667972708397957e-16
"0.64244514106583083812296308678924106061`16."	"2.06989082919362983365258736371726066064247`25.*^-16"	3.192697815194296e-16
"0.65087774294670852626154555764514952898`16."	"2.837744906752136592066341755524496615469054`24.*^-16"	3.9553439553649113e-16
"0.65931034482758632542243049101671203971`16."	"3.744669663428281511174078351131158464792218`24.*^-16"	4.881003800698568e-16
"0.66774294670846401356101296187262050807`16."	"3.757016009846898068217743048922132929015356`24.*^-16"	6.000247365358028e-16
"0.6761755485893418127218978952441830188`16."	"3.843500222917336947486811161607043036076318`24.*^-16"	7.348512577967159e-16
"0.68460815047021950086048036610009148717`16."	"5.318947802240941709677619761542780977551101`24.*^-16"	8.966722449436452e-16
"0.6930407523510973000213652994716539979`16."	"6.348463388404766493415985653036831210589495`24.*^-16"	1.0901954352249633e-15
"0.70147335423197509918225023284321650863`16."	"8.468320192909189124117907916006185280974569`24.*^-16"	1.320816173337669e-15
