"alpha"	"CF_Gamma"	"Hydro_Gamma"
"0.01000000000000000020816681711721685133`16."	"""Failed"""	2.1461593101326625e-41
"0.01531772575250836196381065690275136149`16."	"""Failed"""	2.9345021880246814e-38
"0.02063545150501672198473102071147877723`16."	"""Failed"""	4.520517061525804e-36
"0.0259531772575250854750983364738203818`16."	"""Failed"""	2.164998774010048e-34
"0.03127090301003344896546565223616198637`16."	"""Failed"""	5.0006044141160845e-33
"0.03658862876254180551693906409127521329`16."	"""Failed"""	7.012688596707758e-32
"0.04190635451505016900730637985361681785`16."	"""Failed"""	6.840235934807908e-31
"0.04722408026755853249767369561595842242`16."	"""Failed"""	5.062358813485761e-30
"0.05254180602006689598804101137830002699`16."	"""Failed"""	3.015542247101458e-29
"0.05785953177257525947840832714064163156`16."	"""Failed"""	1.5076751388545058e-28
"0.06317725752508361602988173899575485848`16."	"""Failed"""	6.524799584637179e-28
"0.06849498327759198645914295866532484069`16."	"""Failed"""	2.5019500517211238e-27
"0.07381270903010032913282856270598131232`16."	"""Failed"""	8.655654282928631e-27
"0.07913043478260868568430197456109453924`16."	"""Failed"""	2.740604723690251e-26
"0.08444816053511705611356319423066452146`16."	"""Failed"""	8.033766928455736e-26
"0.08976588628762541266503660608577774838`16."	"""Failed"""	2.2009095736155078e-25
"0.09508361204013378309429782575534773059`16."	"""Failed"""	5.679018679254293e-25
"0.10040133779264213964577123761046095751`16."	"""Failed"""	1.3891798715285007e-24
"0.10571906354515051007503245728003093973`16."	"""Failed"""	3.2392597084922927e-24
"0.11103678929765886662650586913514416665`16."	"""Failed"""	7.233879602660749e-24
"0.11635451505016722317797928099025739357`16."	"""Failed"""	1.553406524159445e-23
"0.12167224080267557972945269284537062049`16."	"""Failed"""	3.2188637963062785e-23
"0.126989966555183964036501720329397358`16."	"""Failed"""	6.455715177567006e-23
"0.13230769230769232058797513218451058492`16."	"""Failed"""	1.2565170754628973e-22
"0.13762541806020067713944854403962381184`16."	"""Failed"""	2.379006725817573e-22
"0.14294314381270903369092195589473703876`16."	"""Failed"""	4.390671301799879e-22
"0.14826086956521739024239536774985026568`16."	"""Failed"""	7.913701434942213e-22
"0.15357859531772577454944439523387700319`16."	"""Failed"""	1.3952824395922215e-21
"0.15889632107023413110091780708899023011`16."	"""Failed"""	2.410043841874657e-21
"0.16421404682274248765239121894410345703`16."	"""Failed"""	4.083671357745767e-21
"0.16953177257525084420386463079921668395`16."	"""Failed"""	6.796206178739203e-21
"0.17484949832775922851091365828324342147`16."	"""Failed"""	1.1121163633543258e-20
"0.18016722408026758506238707013835664839`16."	"""Failed"""	1.791170016451792e-20
"0.18548494983277594161386048199346987531`16."	"""Failed"""	2.8419944942039845e-20
"0.19080267558528429816533389384858310223`16."	"""Failed"""	4.446033367455864e-20
"0.19612040133779268247238292133260983974`16."	"""Failed"""	6.863070702748078e-20
"0.20143812709030103902385633318772306666`16."	"""Failed"""	1.0460848178671149e-19
"0.20675585284280939557532974504283629358`16."	"1.129876834182838974258177738936670810156279099228281579936`32.*^-19"	1.5754346249659877e-19
"0.2120735785953177521268031568979495205`16."	"""Failed"""	2.3457393418357006e-19
"0.21739130434782610867827656875306274742`16."	"1.7799980460898002265195083043374930557200277684960605095387`32.*^-19"	3.454986678781882e-19
"0.22270903010033446522974998060817597434`16."	"2.9911394148326517278622882393009369293745120767340310535018`32.*^-19"	5.036444892392375e-19
"0.22802675585284282178122339246328920126`16."	"6.3992381539600419252157713075485129546164437509498278748384`31.*^-19"	7.269772187946943e-19
"0.23334448160535117833269680431840242818`16."	"1.16700901293768452984258845506179808490848931215928500634506`31.*^-18"	1.0395132033529435e-18
"0.2386622073578595348841702161735156551`16."	"1.20669236131586811172782461882791028228119766605268159056139`31.*^-18"	1.4730994341849671e-18
"0.2439799331103679469467948592864559032`16."	"1.77151642983676337537706338665543929252943461884660642582267`31.*^-18"	2.069642497372021e-18
"0.24929765886287630349826827114156913012`16."	"3.04486394209126143644161616151267958050452073696684769092427`31.*^-18"	2.8838804278161033e-18
"0.25461538461538463229416606736776884645`16."	"4.72703887750028277979757666376556076155650788850048871543642`31.*^-18"	3.9868070341784756e-18
"0.25993311036789301660121509485179558396`16."	"5.1598597490727396915354053655413088315976`30.*^-18"	5.469875508279039e-18
"0.26525083612040134539711289107799530029`16."	"6.4377904738803058353987379673773787029133`30.*^-18"	7.450127193999827e-18
"0.2705685618729097297041619185620220378`16."	"1.22382166107331935371246178492038633831988`30.*^-17"	1.0076412312346335e-17
"0.27588628762541805850005971478822175413`16."	"1.29282223723395349883634278531169341539112`30.*^-17"	1.3536892242020894e-17
"0.28120401337792644280710874227224849164`16."	"1.76016485377441428027769259895239215593681`30.*^-17"	1.8068037631672745e-17
"0.28652173913043477160300653849844820797`16."	"2.35578540002427148653838861491976365734231`30.*^-17"	2.3965363131749738e-17
"0.29183946488294315591005556598247494549`16."	"2.80189573031685589530763812908912164815803`30.*^-17"	3.159616780506104e-17
"0.297157190635451540217104593466501683`16."	"3.78559980236545748799169631218478109169436`29.*^-17"	4.1414580189688025e-17
"0.30247491638795986901300238969270139933`16."	"5.01057305338667877484600429456801150691088`29.*^-17"	5.397923838511826e-17
"0.30779264214046825332005141717672813684`16."	"6.59127757598503030968196789935883184270235`29.*^-17"	6.997396820337207e-17
"0.31311036789297663762710044466075487435`16."	"8.58595414479351241214783181494760094173229`29.*^-17"	9.023185611046812e-17
"0.31842809364548496642299824088695459068`16."	"1.080202924088225362477123956792930439966113`29.*^-16"	1.1576314806375785e-16
"0.32374581939799335073004726837098132819`16."	"1.375569369547391441830563849277291183848444`29.*^-16"	1.4778744005358044e-16
"0.32906354515050167952594506459718104452`16."	"1.758589495063721359582423693059354209562956`29.*^-16"	1.877706607495559e-16
"0.33438127090301006383299409208120778203`16."	"2.218230000999148442509916101761221082141903`29.*^-16"	2.374673806374894e-16
"0.33969899665551844814004311956523451954`16."	"2.794240024304720140045993615226102341314986`28.*^-16"	2.9896901485492664e-16
"0.34501672240802677693594091579143423587`16."	"3.481005506232109161666382613572705371790844`28.*^-16"	3.747585179725688e-16
"0.35033444816053516124298994327546097338`16."	"4.353026666936783675734687070728338807689838`28.*^-16"	4.677721975445684e-16
"0.35565217391304349003888773950166068971`16."	"5.466701866219918036275839347443370740901129`28.*^-16"	5.814692986237138e-16
"0.36096989966555187434593676698568742722`16."	"6.763437089793335760106943826667033842526609`28.*^-16"	7.199100328123063e-16
"0.36628762541806020314183456321188714355`16."	"8.401571829884353494371950214516486831162795`28.*^-16"	8.878427419487457e-16
"0.37160535117056858744888359069591388106`16."	"1.0322763129853329348278576618887413416891521`28.*^-15"	1.0908008973199481e-15
"0.37692307692307697175593261817994061857`16."	"1.2678146100147222149567421912284117296955665`28.*^-15"	1.3352106394069558e-15
"0.38224080267558535606298164566396735609`16."	"1.5481008820088348691486766513230575582980077`28.*^-15"	1.6285095596501485e-15
"0.38755852842809368485887944189016707242`16."	"1.8909102050121619881249007206703113246999985`27.*^-15"	1.9792774135723927e-15
"0.39287625418060206916592846937419380993`16."	"2.3010292442641890373946886254315993234607586`27.*^-15"	2.3973794328225526e-15
"0.39819397993311039796182626560039352626`16."	"2.7914906622547952717943501778045021079626691`27.*^-15"	2.8941228712952868e-15
"0.40351170568561878226887529308442026377`16."	"3.378428870172650065413839856812473586947056`27.*^-15"	3.4824273764562035e-15
"0.4088294314381271110647730893106199801`16."	"4.0758099507043433819304298800242030199229605`27.*^-15"	4.177009720388458e-15
"0.41414715719063549537182211679464671761`16."	"4.8978738997206274129025014939466474880697676`27.*^-15"	4.99458335495488e-15
"0.41946488294314382416771991302084643394`16."	"5.8755937564702479287890758097192225819741788`27.*^-15"	5.954073170969636e-15
"0.42478260869565220847476894050487317145`16."	"7.0300672706513636299770092222256778570017664`27.*^-15"	7.07684574160319e-15
"0.43010033444816053727066673673107288778`16."	"8.387308757339163898976907034462261940448346`27.*^-15"	8.386955214698552e-15
"0.43541806020066892157771576421509962529`16."	"9.9849126663454524443024691420773765292259623`27.*^-15"	9.911404886664496e-15
"0.44073578595317725037361356044129934162`16."	"1.18545970895337648990654623181871585870220483`27.*^-14"	1.1680424341663554e-14
"0.44605351170568563468066258792532607913`16."	"1.40472024828188214450301067927624155642223991`26.*^-14"	1.3727761873612544e-14
"0.45137123745819396347656038415152579546`16."	"1.65952476741995230193784700271032984244384639`26.*^-14"	1.6090991724904174e-14
"0.45668896321070234778360941163555253297`16."	"1.95805659269553285109418311230643206039249012`26.*^-14"	1.8811835474771933e-14
"0.4620066889632106765795072078617522493`16."	"2.30266966893027573434814132187958836983704942`26.*^-14"	2.1936496692085465e-14
"0.46732441471571906088655623534577898681`16."	"2.70423165523497440651125153036551880228180497`26.*^-14"	2.5516007732534382e-14
"0.47264214046822738968245403157197870314`16."	"3.16745517572348690798071651545893083501814685`26.*^-14"	2.9606587309315304e-14
"0.47795986622073588501180552157165948302`16."	"3.70349202309116983390480058889626846956703046`26.*^-14"	3.427000720052409e-14
"0.48327759197324421380770331779785919935`16."	"4.32100352897335257097365234161839743293760968`26.*^-14"	3.957396617666382e-14
"0.48859531772575259811475234528188593686`16."	"5.0324910752016239983159155355928916586814282`26.*^-14"	4.559246893949762e-14
"0.49391304347826092691065014150808565319`16."	"5.84930281176506583043451656423111855013425891`26.*^-14"	5.2406207560648906e-14
"0.4992307692307693112176991689921123907`16."	"6.78724225912103884147240086017285222775073913`26.*^-14"	6.010294259695578e-14
"0.50454849498327758450244573396048508584`16."	"7.85955182939888692079181485461576836565591661`26.*^-14"	6.87778807419471e-14
"0.50986622073578602432064599270233884454`16."	"9.08448868788175140231231433702208174876114287`25.*^-14"	7.853404555159999e-14
"0.51518394648829435311654378892853856087`16."	"1.048367971077569626768340105467196505649564091`25.*^-13"	8.948263746067702e-14
