"alpha"	"CF_Gamma"	"Hydro_Gamma"
"0.17999999999999999333866185224906075746`16."	"5.6708132586314689902616602169811557334240138`30.*^-15"	9.315989261515545e-15
"0.18412060301507537025655802384579914561`16."	"7.3708105499215687357865745662992998745699402`30.*^-15"	1.2139132743178134e-14
"0.18824120603015074717445419544253753377`16."	"9.527161994826631141854282565549672033868894`30.*^-15"	1.571243491731561e-14
"0.19236180904522612409235036703927592192`16."	"1.2220480282994468676080775525331903193710393`30.*^-14"	2.020775821304379e-14
"0.19648241206030150101024653863601431007`16."	"1.559481698471141129929882475599765949319212`30.*^-14"	2.5830062377508484e-14
"0.20060301507537687792814271023275269823`16."	"1.97931302589026351500151529255389314344317744`30.*^-14"	3.282253704455761e-14
"0.20472361809045225484603888182949108638`16."	"2.4990690537933601109460471555063778239631608`30.*^-14"	4.147232061302288e-14
"0.20884422110552763176393505342622947453`16."	"3.13847755470325942411106505445183618032272188`30.*^-14"	5.2116842336533594e-14
"0.21296482412060300868183122502296786268`16."	"3.92184442745425887533379973724581102318779001`30.*^-14"	6.515082298015779e-14
"0.21708542713567838559972739661970625084`16."	"4.87860425999456651473803807798368973496351322`30.*^-14"	8.103396724966559e-14
"0.22120603015075376251762356821644463899`16."	"6.04086122090528967533022331944133290574441717`30.*^-14"	1.0029937840568604e-13
"0.22532663316582913943551973981318302715`16."	"7.44584256268624994575669268016254079009673899`30.*^-14"	1.2356272199990976e-13
"0.2294472361809045163534159114099214153`16."	"9.14154367066552402162936261122478990946030898`30.*^-14"	1.5153216148050232e-13
"0.23356783919597989327131208300665980345`16."	"1.117626295331667838359369753655120830446260028`30.*^-13"	1.850190834807284e-13
"0.23768844221105527018920825460339819161`16."	"1.361076047779503348777562804759794185061160996`30.*^-13"	2.2494962490582435e-13
"0.24180904522613064710710442620013657976`16."	"1.651274460439855543998291220918714264443268231`30.*^-13"	2.723770074521075e-13
"0.24592964824120602402500059779687496791`16."	"1.996147210096578929740737647806950047157511237`30.*^-13"	3.284946779198722e-13
"0.25005025125628140094289676939361335607`16."	"2.404462632915028688785365358852698856021188361`30.*^-13"	3.946502446161233e-13
