"alpha"	"CF_Gamma"	"Hydro_Gamma"
"0.01000000000000000020816681711721685133`16."	"""Failed"""	2.2330925539904142e-41
"0.0152978056426332290063108132471825229`16."	"""Failed"""	2.994222427531893e-38
"0.02059561128526645606973133340034110006`16."	"""Failed"""	4.5750738649436715e-36
"0.02589341692789969007204575746072805487`16."	"""Failed"""	2.182955267990535e-34
"0.03119122257053291713546627761388663203`16."	"""Failed"""	5.034203412758746e-33
"0.03648902821316614419888679776704520918`16."	"""Failed"""	7.057489548728071e-32
"0.04178683385579937820120122182743216399`16."	"""Failed"""	6.8869959555339596e-31
"0.04708463949843260526462174198059074115`16."	"""Failed"""	5.101877768645483e-30
"0.05238244514106583232804226213374931831`16."	"""Failed"""	3.043130803350144e-29
"0.05768025078369905939146278228690789547`16."	"""Failed"""	1.523909875391653e-28
"0.06297805642633227951598939853283809498`16."	"""Failed"""	6.607021913903133e-28
"0.06827586206896550657940991868599667214`16."	"""Failed"""	2.5384938082233247e-27
"0.07357366771159874752061824665361200459`16."	"""Failed"""	8.800648719982073e-27
"0.07887147335423196070625095899231382646`16."	"""Failed"""	2.792718192377971e-26
"0.08416927899686520164745928695992915891`16."	"""Failed"""	8.20554036102477e-26
"0.08946708463949842871087980711308773607`16."	"""Failed"""	2.2533734832509175e-25
"0.09476489028213165577430032726624631323`16."	"""Failed"""	5.828795235779435e-25
"0.10006269592476488283772084741940489039`16."	"""Failed"""	1.429442401839406e-24
"0.10536050156739810990114136757256346755`16."	"""Failed"""	3.341812903421985e-24
"0.11065830721003133696456188772572204471`16."	"""Failed"""	7.482715155172062e-24
"0.11595611285266456402798240787888062187`16."	"""Failed"""	1.6111883758216667e-23
"0.12125391849529779109140292803203919902`16."	"""Failed"""	3.3477833988858673e-23
"0.12655172413793103203261125599965453148`16."	"""Failed"""	6.733049925746876e-23
"0.13184952978056427297381958396726986393`16."	"""Failed"""	1.3142162369760907e-22
"0.13714733542319751391502791193488519639`16."	"""Failed"""	2.4954136028262167e-22
"0.14244514106583072710066062427358701825`16."	"""Failed"""	4.618948007693718e-22
"0.14774294670846394028629333661228884012`16."	"""Failed"""	8.349748902204137e-22
"0.15304075235109718122750166457990417257`16."	"""Failed"""	1.4765677827101317e-21
"0.15833855799373042216870999254751950502`16."	"""Failed"""	2.5581691586566855e-21
"0.16363636363636363535434270488622132689`16."	"""Failed"""	4.3479387821192705e-21
