"alpha"	"CF_Gamma"	"Hydro_Gamma"
"0.05000000000000000277555756156289135106`16."	"4.57337956761053098921203042324663520716334735`20.*^-14"	2.919923632509953e-14
"0.05302013422818792343083060814024065621`16."	"7.54783413648531252996473229335031569022168598`20.*^-14"	4.8462285749516355e-14
"0.05604026845637584408610365471758996136`16."	"1.170813208687020572579887203289286702351358654`20.*^-13"	7.810311827986265e-14
"0.05906040268456376474137670129493926652`16."	"1.742111595117706284249370418073721525739039369`20.*^-13"	1.2260219581067125e-13
"0.06208053691275167845775584396506019402`16."	"2.515500707951832255006536878031319521874978127`20.*^-13"	1.8794339093650998e-13
"0.06510067114093960605192279444963787682`16."	"3.550401234403121573444417257744302388044359128`20.*^-13"	2.8198535421220526e-13
"0.06812080536912751282940803321253042668`16."	"4.921698390113394360181436232346450416091847049`20.*^-13"	4.1489295151061784e-13
"0.07114093959731543348468107978987973183`16."	"6.723066722984504309590011703918447968351138554`20.*^-13"	5.996329142482496e-13
"0.07416107382550335413995412636722903699`16."	"9.07074949749700311474423708767127833709423656`20.*^-13"	8.525373969118345e-13
"0.07718120805369127479522717294457834214`16."	"1.2107867389782916856860876971824163712479864631`20.*^-12"	1.1939385961472908e-12
"0.08020134228187919545050021952192764729`16."	"1.6009209310793060009398591035944163849168676957`20.*^-12"	1.648876956343211e-12
"0.08322147651006711610577326609927695245`16."	"2.0986596224188645398499203167573795608506222658`20.*^-12"	2.247884771743133e-12
"0.0862416107382550367610463126766262576`16."	"2.7294801327183456839597527983585153633391769024`20.*^-12"	3.0278461991001807e-12
"0.08926174496644295741631935925397556275`16."	"3.5238063370970492822194031021344509287012974671`20.*^-12"	4.032933822994331e-12
"0.0922818791946308780715924058313248679`16."	"4.5177138639836392330886725660399905606105772676`20.*^-12"	5.315620974166514e-12
"0.09530201342281879872686545240867417306`16."	"5.7537043201645236150770370426167783010581395747`20.*^-12"	6.937767996281812e-12
"0.09832214765100671938213849898602347821`16."	"7.2815356821346917705385213980614516664708561437`20.*^-12"	8.971779595755538e-12
"0.10134228187919464003741154556337278336`16."	"9.1591145401485831607359736454877645820608720686`20.*^-12"	1.1501829300589888e-11
"0.10436241610738256069268459214072208852`16."	"1.14534508129348917106814066837373315448825697825`20.*^-11"	1.462514590604001e-11
"0.10738255033557048134795763871807139367`16."	"1.42416794730939895926968068205470818120037307427`20.*^-11"	1.8453355606303614e-11
"0.11040268456375840200323068529542069882`16."	"1.76121397363820264787769330839702439894868123455`20.*^-11"	2.3113872311684082e-11
"0.11342281879194630878071592405831324868`16."	"2.16655091696018571453876695158895831001721278058`20.*^-11"	2.875132743956522e-11
"0.11644295302013424331377677845011930913`16."	"2.65160255915829255351061299988018146526261066227`20.*^-11"	3.5529029255131485e-11
"0.11946308724832215009126201721301185898`16."	"3.22927256319077926292513487305168626938307462839`20.*^-11"	4.3630440634413025e-11
"0.12248322147651007074653506379036116414`16."	"3.91407786957932607111372227062417236679081954266`20.*^-11"	5.3260662938496046e-11
"0.12550335570469800527959591818216722459`16."	"4.72228616638078498876248745932739289643956193398`20.*^-11"	6.46479125343318e-11
"0.12852348993288592593486896475951652974`16."	"5.67205846037222697301539537484822690280554461359`20.*^-11"	7.804497538534924e-11
"0.1315436241610738188345663957079523243`16."	"6.7835968768076059386876095749407030870440536403`20.*^-11"	9.37306240749119e-11
"0.13456375838926176724541505791421514004`16."	"8.07929919995073293748267595112115311425949659638`20.*^-11"	1.1201098062846705e-10
"0.1375838926174496879006881044915644452`16."	"9.58391490996395552242245368316542204507319307121`20.*^-11"	1.332208075768619e-10
"0.14060402684563758080038553544000023976`16."	"1.132470690484027954630559675728189033867647391941`20.*^-10"	1.5772470886452472e-10
"0.1436241610738255292112341976462630555`16."	"1.333161792763432540460838394239900820594469905316`20.*^-10"	1.8591822146260473e-10
"0.14664429530201342211093162859469885007`16."	"1.563743824474910587713902972336824564910987297558`20.*^-10"	2.1822877790917165e-10
"0.14966442953020137052178029080096166581`16."	"1.827797864869348964650190512601405440879947105098`20.*^-10"	2.5511651947634644e-10
